MoleculeType	Identifier	MoleculeName	
Proteins	Q15008	UniProt:Q15008 PSMD6	
Proteins	P60896	UniProt:P60896 SEM1	
Proteins	O43242	UniProt:O43242 PSMD3	
Proteins	O00231	UniProt:O00231 PSMD11	
Proteins	O00487	UniProt:O00487 PSMD14	
Proteins	P51665	UniProt:P51665 PSMD7	
Proteins	O00232	UniProt:O00232 PSMD12	
Proteins	Q9UNM6	UniProt:Q9UNM6 PSMD13	
Proteins	Q99460	UniProt:Q99460 PSMD1	
Proteins	Q16186	UniProt:Q16186 ADRM1	
Proteins	P17980	UniProt:P17980 PSMC3	
Proteins	P62333	UniProt:P62333 PSMC6	
Proteins	P43686	UniProt:P43686 PSMC4	
Proteins	P62195	UniProt:P62195 PSMC5	
Proteins	P62191	UniProt:P62191 PSMC1	
Proteins	P35998	UniProt:P35998 PSMC2	
Proteins	Q13200	UniProt:Q13200 PSMD2	
Proteins	O14818	UniProt:O14818 PSMA7	
Proteins	P25786	UniProt:P25786 PSMA1	
Proteins	P25787	UniProt:P25787 PSMA2	
Proteins	P25788	UniProt:P25788 PSMA3	
Proteins	P25789	UniProt:P25789 PSMA4	
Proteins	P28066	UniProt:P28066 PSMA5	
Proteins	P60900	UniProt:P60900 PSMA6	
Proteins	P28074	UniProt:P28074 PSMB5	
Proteins	P20618	UniProt:P20618 PSMB1	
Proteins	P28072	UniProt:P28072 PSMB6	
Proteins	Q99436	UniProt:Q99436 PSMB7	
Proteins	P49721	UniProt:P49721 PSMB2	
Proteins	P49720	UniProt:P49720 PSMB3	
Proteins	P28070	UniProt:P28070 PSMB4	
Proteins	P62877	UniProt:P62877 RBX1	
Proteins	Q00653	UniProt:Q00653 NFKB2	
Proteins	Q15653	UniProt:Q15653 NFKBIB	
Proteins	Q9NYR9	UniProt:Q9NYR9 NKIRAS2	
Proteins	Q9NYS0	UniProt:Q9NYS0 NKIRAS1	
Proteins	Q96QP1	UniProt:Q96QP1 ALPK1	
Proteins	Q96CG3	UniProt:Q96CG3 TIFA	
Proteins	Q9UMW8	UniProt:Q9UMW8 USP18	
Proteins	Q70UQ0	UniProt:Q70UQ0 IKBIP	
Proteins	Q15048	UniProt:Q15048 LRRC14	
Proteins	Q86WI3	UniProt:Q86WI3 NLRC5	
Proteins	P54578	UniProt:P54578 USP14	
Proteins	Q12933	UniProt:Q12933 TRAF2	
Proteins	O75113	UniProt:O75113 N4BP1	
Proteins	Q14790	UniProt:Q14790 CASP8	
Proteins	P04637	UniProt:P04637 TP53	
Proteins	Q86UT6	UniProt:Q86UT6 NLRX1	
Proteins	P05067	UniProt:P05067 APP	
