userId	geneSymbol	geneName	entrezgene	score	gLink
177	AGER	advanced glycosylation end-product specific receptor	177	-0.755880953637665	https://www.ncbi.nlm.nih.gov/gene/?term=177
1794	DOCK2	dedicator of cytokinesis 2	1794	1.31977349528937	https://www.ncbi.nlm.nih.gov/gene/?term=1794
1803	DPP4	dipeptidyl peptidase 4	1803	-2.26787914372002	https://www.ncbi.nlm.nih.gov/gene/?term=1803
1805	DPT	dermatopontin	1805	2.33654273499714	https://www.ncbi.nlm.nih.gov/gene/?term=1805
181	AGRP	agouti related neuropeptide	181	-0.55450518866981	https://www.ncbi.nlm.nih.gov/gene/?term=181
182	JAG1	jagged canonical Notch ligand 1	182	0.559706330228046	https://www.ncbi.nlm.nih.gov/gene/?term=182
1828	DSG1	desmoglein 1	1828	-3.80280201155456	https://www.ncbi.nlm.nih.gov/gene/?term=1828
1829	DSG2	desmoglein 2	1829	2.0375112358167	https://www.ncbi.nlm.nih.gov/gene/?term=1829
183	AGT	angiotensinogen	183	-2.82111589606177	https://www.ncbi.nlm.nih.gov/gene/?term=183
1839	HBEGF	heparin binding EGF like growth factor	1839	0.28336819254354	https://www.ncbi.nlm.nih.gov/gene/?term=1839
1848	DUSP6	dual specificity phosphatase 6	1848	-2.74702062645925	https://www.ncbi.nlm.nih.gov/gene/?term=1848
1889	ECE1	endothelin converting enzyme 1	1889	1.3791844737274	https://www.ncbi.nlm.nih.gov/gene/?term=1889
1893	ECM1	extracellular matrix protein 1	1893	2.84312133373103	https://www.ncbi.nlm.nih.gov/gene/?term=1893
1906	EDN1	endothelin 1	1906	3.4681785073016	https://www.ncbi.nlm.nih.gov/gene/?term=1906
1933	EEF1B2	eukaryotic translation elongation factor 1 beta 2	1933	1.11869554618049	https://www.ncbi.nlm.nih.gov/gene/?term=1933
1942	EFNA1	ephrin A1	1942	2.12439233188794	https://www.ncbi.nlm.nih.gov/gene/?term=1942
1946	EFNA5	ephrin A5	1946	0.0220640424477336	https://www.ncbi.nlm.nih.gov/gene/?term=1946
1947	EFNB1	ephrin B1	1947	-1.26188745828953	https://www.ncbi.nlm.nih.gov/gene/?term=1947
1948	EFNB2	ephrin B2	1948	-1.45809206411549	https://www.ncbi.nlm.nih.gov/gene/?term=1948
1950	EGF	epidermal growth factor	1950	-1.19498406238163	https://www.ncbi.nlm.nih.gov/gene/?term=1950
1956	EGFR	epidermal growth factor receptor	1956	4.42980023370671	https://www.ncbi.nlm.nih.gov/gene/?term=1956
