Protein,comp1,comp2
P0DJI8,-0.12216973912135186,0.14041936561742954
P13716,0,0
P21757,0,0
P63098,0,0
P08236,0,0
P51911,0,0
P20963,0,0
P20023,0,0
O14594,0,0
P02774,0,0
P07203,0,0
Q92743,0,0.0673023236071387
O94992,0,0
P08887,0,0
P08727,0,0
P23443,0,0
Q8N2Q7,0,0
P31749,0,0
Q9H3U7,0,0
Q03692,0.11269340686396859,0
P12643,0,0
P12644,0,0
P15056,0,0
Q7Z5L3,0,0
P06401,0,0
P24298,0,0.12267930319946395
P29353,0,0
Q9BXR6,0,0
P11717,0,0
O75791,0,0
Q9BXB1,0,0
Q9UK85,0,0
P37023,0,0
P17096,0,0
P51692,0,0.05622102037600437
P50583,0,0
P11021,0,0
P15121,-0.03894620872321557,0
P06396,0,-0.08147389288018901
P13929,-0.2182578323087809,0
Q07108,0,0
O76074,0,0
Q9H5V8,0,0
O43819,0,0
Q13822,0,0
Q8N3J6,0,0
O15455,0,0
P05186,0,0
P30043,0,0
O15075,0,0
P55075,0,0
P10092,0,0
O75475,0,0
Q9NWT6,0,0
Q9HD40,0,0
Q96GG9,0,0
Q13541,0,0
P61086,0,0
P09601,-0.0056296229858245365,0
Q6FHJ7,0.13929397299029064,0
P00450,0,0.05835251140695661
P20591,0,0
Q96CM8,0,0
Q9UMX1,0,0
Q9NTG7,0,0
P37108,0,0
P15529,0,0
P06727,0,-0.10792874045379482
Q86XR7,0,0
P22309,0,0
Q16890,0,0
P78540,0,0
P08134,0,0
P14598,-0.00413519286586684,-0.04994699360946845
O15205,0,0
O15305,0,0
Q9NVS9,0,0
O60551,0,0
P62316,0,0
Q14790,0,0
Q14790.1,0,0
P05062,0,0
P50440,0,0
Q9NRV9,0,0
Q8N6N6,0,0
Q8IX03,0,0
Q9H900,0,0
P13995,0,0
Q14194,0,0
P28070,0,0
Q9Y617,0,0
P02768,0,0
O43687,0,0
Q96Q83,0,0
P56377,0,0
Q9HBK9,0,0
P12830,0,0
P62380,0,0
Q13427,0,0.032548291332489036
Q9NUU7,0,0
P83916,0,0
P45877,0,0
Q96EQ0,0,0
P01266,0,0
Q9UIV8,0,0
P49715,0,0
P02461,0.009340965051401433,0
Q9H4D0,0,0
Q9UDY4,0,0
Q8IZP7,0,0
P28066,0,0
P25788,0,0
O94813,0,0
O75094,0,0
P28065,0,0
Q8N8N7,0,0.12481936271805474
P35638,0,0
P13861,0,0
P50452,0,0
Q9UHV8,0,0
P41236,0,0
Q15777,0,0
P07093,0,0
O43586,0,0
O43427,0,0
Q7L9L4,0,0
O95630,0,0
P54578,0,0
Q06187,0,0
P36639,0,0
P55263,0,0
P61020,0,0
O95816,0,0
P53999,0,0
P61077,0,0
P06132,0,0
P11413,0,0
Q9UQB8,0,0
Q9Y3A3,0,0
P61978,0,0
Q92506,0,0
Q99497,0,0
Q99497.1,0,0
Q86Z14,0,0
O75096,0,0
P40933,0,0
P55075.1,0,0
P53567,0,0
P19235,0,0
O60496,0,0
P31371,0,0
Q96E17,0,0
Q92994,0,0.19842215348405937
Q15700,0,0
P08476,0,0
P01270,0,0
P00813,0,0
P24864,0,0
Q96EB6,0,0.07848157859575265
P01116,0,0
Q15907,0,0
Q969T4,0,0
P20827,-0.011217494166856055,0
P19320,0,0
O15527,0,-0.08915636190246282
Q86WK6,0,-0.030602581293710327
P14136,0,0
Q15560,0,0
P13591,0,0
P09871,0,0.2376380280018926
P42229,0,0
Q9BX74,0,0
O00161,0,0
Q6GMV3,0,0
Q99828,0,0
Q9NXJ5,0,0
A6NKN8,0,0
O14645,0,0
Q9P2X3,0,0
P43121,0,0
Q13145,0,0
Q14126,0,0
Q92520,0,0
Q8NFY4,0,0
Q8WTV0,0,0
Q96AP7,0,0
P30988,0,0
Q86UN2,0,-0.014469297077573119
Q9P121,0,0
Q9UQ52,0,0
P43220.1,0.021880444754091323,0
P09234,0,0
Q8TF65,0,0
P18846,0,0
Q9GZZ1,0,0
Q9ULC3,0,0
P62263,0,0
Q96LD8,0,0
Q9H9R9,0,0
Q14206,0,0
Q9BZL1,0,0
Q96G28,0,0
Q9NZL4,0,0
Q7Z5W3,0,0
Q8TBC4,0,0
Q13084,0,0
A2RUC4,0,0
Q9NS37,0,0
O00141,0,0
Q8WUK0,0,0
Q96B02,0,0
Q9NSI8,0,0
Q6ICB0,0,0
P50453,0,0
P50225,0,0
P62913,0,0
Q9BTZ2,0,0
Q6IN84,0,0
Q4VC05,0,0
Q8TD30,0,0
Q16612,0,0
Q96DH6,0,0
Q96F24,0,0
Q8TBN0,0,0
Q8TCS8,0,0
Q9H777,0,0
Q16819,0,0
O14917,0,0
P49815,0,0
Q16584,0,0
P47712,0,0
O00429,0,0.018061760291903355
Q99717,0,0
Q9UL45,0,0
Q16853,0,0
P55210,0,0
Q86SG5,0,0
Q13451,0,0
Q14896,0,0
P56962,0,0
Q9BTM9,0,0
Q8IXL6,0,0
Q01064,0,0
O00308,0,0
P05120,0,0
P43146,0,0
P55290,0,0
P78509,0,0
Q495W5,0,0
O94782,0,0
Q92560,0,0
Q9HC62,0,0
Q92772,0,0
Q5JSQ8,0,0
P18615,0,0
P17081,0,0
P43308,0,0
Q712K3,0,0
Q9H8U3,0,0
Q8IUK8,0,-0.003205273156461576
P03951,0,0
P41226,0,0
Q9UBV4,0,0
P46379,0,0
P28845,0,0
P11215,0,0
P06858,0,0
P29474,0,0
Q9Y5A7,0,0
P80303,-0.01744077658496197,0.04506887402736865
Q15165,0,0
P39060,0,0
O75569,0,0
Q9UQQ2,0,0
Q13163,0,0
Q6EEV6,0,0
Q12778,0,0
P30837,0,0
Q96L46,0,0
P18847,0,0
Q8WZ19,0,0
Q9UBR1,0,0
Q9Y2Z9,0,0
P00750,0,0
Q5T6F0,0,0
Q07687,0,0
Q9HB65,0,0
Q9Y2C4,0,0
Q9BZS1,0,0
Q06547,0,0
Q92551,0,0
Q9UKI8,0,0
O43248,0,0
O43679,0,0
Q92802,0,0
Q4G0N4,0,0
Q16236,0,0
Q8IWS0,0,0
P60510,0,0
Q14691,0,0
Q86SE5,0,0
P29558,0,0
Q9HCK4,0,0
O75581,0,0
P21912,0,0
Q9BSV6,0,0
P17947,-0.005225308672893398,0
Q9UGM6,0,0
Q96BN2,0,0
Q8NHR7,0,0
Q9BVW5,0,0
P13051,0,0
O14978,0,0
O60783,0,0
Q13043,0,0
P17676,0,0
O95166,0,0
P80098,0,0.029455330181204255
P19875,0,0
O94992.1,0,0
P18065,0,0
Q96SI1,0,0
O14530,0,0
Q719H9,0,0
Q6UWP2,0,0
Q8NBZ0,0,0
Q9GZN7,0,0
Q6AI12,0,0
Q9UFW8,0,0
Q6IBS0,0,0
Q53HC0,0,0
A6NGB7,0,0
Q96AB6,0,0
Q9P2A4,0,-0.007826520694182363
Q14135,0,0
Q5VZV1,0,0
P35916,0,0
Q9UBU3,0,0
Q8N998,0,0
O60662,-0.32278266840891273,0
P17980,0,0
P31939,0,0
Q15008,0,0
Q9BUB5,0,0
P01031,0,0.040282626657306746
Q7Z6L0,0,0
Q9BTK6,0,0
P49841,0,0
Q96BW5,0,0
P37231,0,0
Q14814,0,0
Q8N427,0,0
Q9UBL6,0,0
P0CG13,0,0
Q9H2A7,0,0
O15520,0,0
P11216,0,0
Q7KZF4,0,0
Q15276,0,0
Q86W54,0,0
O15327,0,0
P55075.2,0,0
Q8N1G2,0,0
A6XGL0,0,0
Q9UN36,0,0
Q9Y6X0,0,0
Q9UMY4,0,0
Q9H165,0,0
Q5TDP6,0,0
Q16799,0,0
P78556,0,0
Q9Y5W9,0,0
Q15041,0,0
P20042,0,0
P02743,0,0
P10721,0,0
P35625,0,0
P09327,0,0
Q15910,0,0
Q96KC8,0,0
P35712,0,0
P63010,0,0
O14920,0,0
Q08AM6,0,0
Q96I24,0,0
P48382,0,0
O75146,0,-0.09721760110035746
P55072,0,0
P23368,0,0
P29144,0,0
Q9C0B1,0,0
Q13228,0,0
Q9Y6H5,0,0
Q8IY22,0,0
Q9Y6A9,0,0
Q9BXU8,0,0
Q5R372,0,0
Q04637,0,0
Q9UDY8,0,0
P53667,0,0
Q13568,0,0
Q5VWP3,-0.14951779798389478,0
Q9UBB4,0,0
P01189,0,0
P05156,0,0
P17936,0,0
P41159,0,0
P14780,0,0
P05164,0,0
P01236.1,0,0
Q92993,0,0
Q9BWS9,0,0
Q01973,0,0
Q92608,0,0
P02794,0,0
O75197,0,0
Q8NEB9,0,0
Q16849,0,0
Q9H4A3,0,0
Q9BXJ3,0.024773040457859056,0
P01033,0,0
P15692,0,0
P41273,0,0
P33681,0,0
O15394,0,0
P01034,0,0
Q9UJZ1,0,0
P52803,0,0
Q15303,0,0
P09758,0,0
P30519,0,0
P41236.1,0,0
Q08431,0,0
Q08334,0,0
P42701.1,0,0
P78552,0,0
P31785,0,0
Q6UX15,0,0
P36941,0,0
P22897,0,0
P07333.1,0,0
Q04912,0,0
P68402,0,0
P17252,0,0
P32942,0,0
Q03405,0,0
P19438,0,0
Q16288,0,0
Q02223,0,0
P07585,0,0
P06732,-0.2753326399552576,0
P00533,0,-0.009515521506553406
P08631,0,0
P14210,-0.0857771856555752,0.06973047832076928
P10809,0,0
P01024,0,0
P24592.1,0,0
Q16674,0,0
P14555,0,0
P13725,0,0
P16284,0,0
P02776,0,0
P07225,0,0
P05543,0,0
Q9UNG2,0,0
P26992.1,0,0
Q12904,0,0
Q99062,0,0
P48788,-0.3281934625659551,0
Q9Y286,0,0
Q15465,0,0
Q9HC73,0,0
P02647,0,0
P20160.1,0,0
P43026,0,0
O95750,0,0
P08833,0,0
Q14005,0,0
Q96PD4,0.017947775249673295,0
P16619,0,0
P08254,0,0
P09237,0,0
P00441,0,0
P04114,0,0
P36896,0,0
Q9Y2N7,0,0
Q15389,0,0
O00253,0,0
P33151,0,0
P78423,0,0
O43278,0,0
P14770,0,0
Q9Y5K2,0,0
P80188,0,0
P08581,0,0
O43291,0,0
P35590,0,0
O60488,0,0
P55008,0,0
P01031.1,0,0.1583182711667532
P27361,0,0
P04150,0,0
Q9BY41,0,0
P52292,0,0
Q05655,0,0
P63000,0,0
P20226,0,0
P11387,0,0
P63279,0,0
P01011,-0.06351437045722126,0
P10643,0,0
P20273,0,0
P21741,0,0.20247221441201027
P12004,0,0
O14788,0,0
P05121,0,0
Q7L2Z9,0,0
P02649,0,0
Q5T4W7,0,0
P99999,0,0
P08684,0,0
P00746,0,0
P10912,0,0
P05019,0,0
P04070,0,0
P12272,0,0
P15514,0,0
P18075,0,0
P35520.1,0,0
P16671,0,0
Q12860,0,-0.0036643326041978985
P29279,0,0
Q02413,0,0
Q9UNE0,0,0
P42830,0,0
P09341,0,0
P01579,0,0
Q96F46,0,0
Q13449,0,0
P11226,0,0
P18031,0,0
Q9Y336,0,0
Q03167,0,0
Q969D9,0,0
P16410,0,0
P08697,0,0.002940745463856618
P09038,0,0
P55773,0,0
Q9NNX6,0,0
Q9UHD0,0,0
P01584,0,0
O14625,0.015487592699065219,0
P10147,0,0
P02144,-0.221029410844354,0
P09486,0,0
P55774,0,0
P22102,0,0
P48023,0,0
P00738,0,0
P24394,0,0
P26718.1,0,0
P17931,0,0
P60568,0,0
O95998,0,0
P18428,0,0.19105401175916303
P00742,0,0
Q99969,0,0
Q9HAV5,0,0
P28482,0,0
Q8NEV9,0,0
Q9NR28,0,0
P49767,0,0
P09429,0,0
P01589,0,0
P48061,0,0
P0CG47,0,0
P49368,0,0
Q9UNA0,0,0
P35475,0,0
P15848,0,0
Q02083,0,0
Q9UHI8,0,0
Q76LX8,0,0
P53634.1,0,0
P25774,0,0
P08709,0,-0.004999037343012891
P06681,0,0.03833901653625731
P54108,0,0
P98073,0,0
Q96KP4,0,0
Q9HCN6,0,0
P10915,0,0
P14735,0,0
P04406,0,0
P22557,0,0
Q9NQ76,0,0
Q9NQ76.1,0,0
Q9NR71,0,0
P14543,0,0
P07093.1,0,0
P07949,0,0
P13686,0,0
Q76M96,0.04973660295026653,0
P02750,0,0
Q15582,0,0
P21810,0,0
P00736,0,0.06445923914233344
Q6YHK3,0,0
P06734,0,0
P09326,0,0
P0CG37,0,0
P49908,0,0
Q9NR61,0,0
P12318,0,0
P31994,0,0
O75015,0,0
P12314,0,0
P22830,0,0
P05546,0,0
O43464,0,0
Q13007,0,0
Q14114,0,0
Q9BY67,0,0
Q6NW40,0,0
Q6ZVN8,0,0
P10646,0,0
P35442,0,0
P35443,0.15150034818443625,0
Q03154,0,0
P01008,0,0
Q96GD4,0,0
P13497,0,0
P49336,0,0
O96017,0,0
Q16610,0,0
Q9UGM5,0,0
P36969,0,0
Q9UPY5,0,0
P05154,0,-0.330153160261715
P48736,0,0
Q9Y243,0,0
P53350,0,0
P00797,0,0
Q9UHD2,0,0
P10415,0,0
Q16548,0,0
Q9HCJ2,0,0
Q13557,0,0
P23946,0,0
P68400,0,0
P29320,0,0
P36888,0,0
P12544,0.027638907796182503,0
Q13478,0,0
P10145,0,0
P06213,0,0
Q4G0M1,0,0.009211025401803777
P09619,0,0
Q96GW7,0,0
P33908,0,0
P17612,0,0
P10586,0,0
P16581,0,0
O75716,0,0
O15392,0,0
P40238,0,0
P07996,0,0
P04629,0,0
P01019,-0.004139424311616658,0
P61769,0,0
P05230,0,0
O43927,0,0
P04040,0,0
P80162,0,0
P01563,0,0
P81172,-0.00937659105858755,0
O00626,0.02546695141393704,0
Q01469,0,0
P48061.1,0,0
Q92583,0,0
P01282,0,0
P49190,0,0
Q4KMQ2,0,0
P29965,0,0
O94907,0,0
P20711,0,0
Q15848,0,0
P13500,0,0
O60609,0,0
P32970,0.006747014506395051,0
P01009,0,0
P02765,0,0
Q14012,0,0
P42574,0,0
Q13231,0,0
Q9BXN2,0,0
P42892,0.028748288552405268,0
O00602,0,0
P15586,0,0
Q04756,0,0
O95711,0,0
Q495T6,0,0
P36507,0,0
Q14982,0,0
P30533,0,0
Q9UIB8,0,0
P35968,0,-0.06291746975221627
P01023,0,0
P00747,0,0
P46527,0,0
P10082,0,0
P43489,0,0
P22004,0,0
P05113.1,0,0
P04070.1,-0.055166631287301496,-0.04288441992602637
P35354,0,0
Q02763,0,0
Q13443,0,0
Q9BY76,-0.011372944666409628,0
Q16790,0,0
P07451,-0.24146440993748963,0
P12277,0,0
Q9GZV9,0,0
P21802,0,0
Q04759,0,0
P60484,0,0
O60603,0,0
P43403,0.07445412483114316,0
O00170,0,0
P62937,0,0
Q9NP97,0,0
O95571,0,0
P40925,0,0
Q06830,0,0
P24666,0,0
P60900,0,0
P07202,0,0
P68036,0,0
Q14974,0,0
Q9UK53,0,0
P20700,0,0
P07195,0,0
P18669,0,0
Q15109,0,0
P17213,0,0
P13671,0,0.21347590700576016
P00751,0,0
P10767,0,0
P02751,0,0
P19883,0,0
Q9NYY1,0,0
P13232,0,0
P02778,0,0
P20783,0,0
P34130,0,0
P01127,0,0
P00747.1,0,0
P00747.2,0,0
P03952,0,-0.16388863566793208
P24821,0,0
P61812,0,0
P00734.1,0,-0.08383586342512989
P00749,0,0
P08603,0,0
P08253,0,0
P02787,-0.0034391001484488756,0
P52209,0,0
O43488,0,0
P14550,0,0
P23528,0,0
Q9NP79,0,0
P08069,0,0
Q01638,-0.1238172256332661,0
P14618,0,0
Q9UNZ2,0,0
Q8IVD9,0,0
P27169,0,0
P30086,0,0
P62826,0,0
Q14498,0,0
P29401,0,0
P60174,0,0
Q9H773,0,0
P29350,0,0
Q9BXJ7,0,0
Q9BWV1,0,0
P02741,0,0.024967631257223375
P05362,0,0
Q9UIK4,0,0
Q99988,0,0
Q07817,0,0
Q9BWP8,0,0
Q6UWV6,0,0
O75356,0,0
Q96P31,0,0
Q14515.1,0,0
P07951,0,0
P05155,0,0
P01024.1,0,0
P21781,0,0
Q01344.1,0,0
P20809,0,0
P39900,0,0
P04085,0,0
Q9Y240,0,0
Q10588,0,0
P45973,0,0
P10909,0,0
Q96DA6,0,0
Q9UHX3,0.017671188789949555,0
Q9NZU1,0,0
Q16719,0,0
P06239,0,0
P19174,0,0
O60880,0,0
P01298,0,0
P05231,-0.14679680665766415,0
P04141,0,0
P14061,0,0
P08700,0,0
P23284,0,0
P30101,0,0
P43652,0,-0.0069568201067718655
P08185,0,0
Q14624,0,0
O95881,0,0
P31947,0,0
P14151,0,0
P29317,0,0
P09919,0,0
P51654,0,0
P01583,0,0
P36894,0,0
Q13873,0,0
Q16620,0,0
P03950,0,0
P00742.1,0,0
P01308,0,0
P80098.1,0,0
P01275,0,0
P01024.2,0,0
Q14019,0,0
P17813,0,0
P01042,0,0
Q99731,0,0
P03956,0,0
O14944,0,0
O95994,0,0
P04083,0,0
P07355,-0.0667085222231459,0
P06576,0,0
Q07021,0,0
P00915,0,-0.005169402630954776
P00918,0,0
P46108,0,0
Q07507,0,0
Q01469.1,0,0
P22455,0,0
P07359,0,0
P15428,0,0
P04196,0,0
Q16539,0,0
P04179,0,0
P26038,0,0
P43490,0,0
P00568,0,0
O00299,0,0
P16333,0,0
Q13093,0,0
P30041,0,0
P09936,0,0
Q15181,0,0
P30566,0,0
Q86VB7,0,0
Q8IXJ6,0,0
P07478,0,0
P04818,0,0
Q9NZQ7,0,0
Q9BZW8,0,0
Q01151,0,0
Q01151.1,0,0
P08174,0,0
Q9UHF4,0,0
Q5VWK5,0,0
P16871,0,0
P78504,0,0
Q9Y219,0,0
Q14108,0,0
P46531,0,-0.024761535017678672
Q92823,0,0
Q9HDB5,0,0
P41217,0,0
Q96MS0,0,0
Q9NP84,0,0
Q02241,0,0
P04035,0,0
P30405,0,0
Q08499,0,0
P29597,0,0
P27797,0,0
P15498,0,0
P51671,0,0
P00734.2,0,0
P42081,0,0
P06702,-0.05811918421275668,0
Q92851,0,0
P16870,0,0
Q9Y625,0,0
P22626,-0.001131149131128529,0
P18510,0,0
Q8N0W4,0,0
Q99983,0,0
Q01105,0,0
Q96RJ3,0,0
P48357,0,0
P26842,0,0
Q9Y6Q6,0,0
P05413,-0.06955919214204784,-0.15502653256206367
P48788.1,-0.30840299504140717,0
Q13740,0,0
P54826,0,0
P62993,0,0
O60243,0,0
P05771,0,0
P13501,0,0
P20936,0,0
P31948,0,0
Q08629,0,0
P07339,0,0
P01133.1,0,0
Q9Y5U5,0,0
P11362,0,0
Q08830,0,0.275787221553742
P06127,0,0
Q8NBM8,0,0
P55081,0,0
P58499,0,-0.017324801593392013
Q9NS98,0,0
Q9UGN4,0,0
Q9NQ79,0,0
Q9H488,0,0
Q9NZC2,0,0
Q9Y2I2,0,0
Q8NBJ5,0,0
P05160,0,0
Q14116,-0.04421300958781616,0
P14314,0,0
P01375,0,0
Q9H4F8,0,0.11058483566499899
P22105,0,0
Q92854,0,0
Q9Y6N7,0,0
Q13510,0,0
Q9BXP8,0,0
O95467,0,0
P02771,0,0
P55957,0,0
P01138,0,0
P01024.3,0,0.10469915610646724
P13385,0,0
P01588,-0.00968225644123666,0.06902779273697068
P39905,0,0
P15260,0,0
P15248,0,0
P42702,0,0
Q96KQ7,0,0
Q13253,0,0
P80511,0,0
P10636,0,0
P04075,0,0
P05089,0,0
Q92934,0,0
P24534,0,0
P63241,0,0
P07492,0,0
P11142,-0.0937877450856854,0
P15531,0,0
P50542,0,0
Q06323,0,0
O43508,0,0
P01270.1,0,0
P61278,0,0
O43557,0,0
P15907,-0.028024577056044258,0
Q9BS26,0,0
Q9NZK5,0,0
Q9UKZ9,0.017377575002975636,0
P04637,0,0
Q9BRR6,0,0
Q16651.1,0,-0.18714958955368477
O43240,0,0
P42081.1,0,0
Q96SM3,0,0
Q8WWZ8,-0.08573706866157266,0
Q8NBI6,0,0
O75973,0,0
P55103,0,0
Q86XP6,0,0
Q7Z5L3.1,0,0
Q96MK3,0,0.15162880695234096
Q86UW8,0,0
P40967,0,0
A6NGN9,0,0
Q9H2R5,0,0
P05305,0,0
Q9Y4K0,0,0
O15394.1,0,0
Q9UJA9,0,0
Q9Y6Z7,0,0
Q14435,0,0
P23352,0.06161181908856053,0
Q96FE5,0,0
Q15063,0.07598236173303771,0
P0CG48,0,0
P0CG47.1,0,0
P06307,0,0
O00469,0,0.04447154409066501
Q13145.1,0,0
Q9HCN8,0,0
Q9ULW5,0,0
Q9BT88,0,0
Q8N807,0,0
Q96DB5,0,0
Q8N475,0.039670724523879215,0
P06729,0,0
Q8IYS5,0,0
O75830,0,0
Q9HBE4,0,0
Q9UJ68,0,0
P08217,0,0
P15169,0,0
Q06033,0,0.2683352270447441
Q8TDQ0,0,0
P05000,0,0
O14994,0,0
Q9ULH4,0,0
Q9H3T2,0,0
P14415,0,0
P20963.1,0,0
Q5T7V8,0,2.1145674957088383e-4
Q86WD7,0,0
Q96HD1,0,0.028514477454825733
P67936,0,0
P36955,0,0
P18084,0,0
Q6UWE3,0,0
Q13162,0,0
O43916,0,0
O95249,0,0
P02753,0,-0.0833073951832871
Q16769,0,0
Q9H2K0,0,0
Q68D85,0,0
O00264,0,0
Q96KN2,0,0
P08567,0,0
P00738.1,0,0
P04278,0,0
P04745,0,0
Q92186,0,0
P09693,0,0
Q9P0K1,0,0
Q13291,0,0
P19827,0,0
Q8WXD2,0,0
Q9ULB5,0,0
O95727,0,0
Q9NXW2,0,0
Q9H819,0,0
A6NNA5,0,0
Q68G75,0,0
P40225,0,0
P07766,0,0
Q8N7P1,0,0
Q9Y287,0,0
P48740,0,0
Q8N5K1,0,0
Q9BUD6,0,0
P14174,0,0
P29323,0.0011154497733596998,0
P05060,0,0
Q6X4U4,0,0
P06276,0,-0.07293017375639023
Q14956,0.04714597579065519,0
P0C7M8,0,0
P00995,0,0
O00548,0,0
