Protein,Cluster
P55036,4
O00231,2
P09211,5
O00194,3
Q7Z6M1,1
P78347,6
Q9Y6K8,6
Q92793,5
O94973,8
O60763,3
P41182.1,6
Q9BQ69,4
O75116,3
Q96T60,3
Q9NRA1,1
P05112,6
Q06190,4
P22607,2
P08246,7
P07333,2
Q01344,3
P21695.1,8
P42701,6
Q14515,2
O60259,3
P00734,2
Q15485,8
Q16552,6
O96013,5
P24158,5
P02748,7
P22301,1
P53634,2
P29460.1,6
Q9GZX6,3
P80075,6
Q16851,4
O95363,3
O75899,4
O43432,3
Q9H4G0,8
P21815,5
Q8N474,5
P23560,2
Q99958,1
P01215,3
Q15080,4
Q86UL8,4
P02790,7
P35225,4
Q92484,1
P24592,7
P49771,4
Q99075,5
P26718,1
P01374,3
P26992,4
P01137,5
P35318,3
Q9H7M9,2
P01574,4
P52799,2
Q9UM44,4
P05161,5
O95396,3
O95644,4
P35243,6
Q9NY15,4
P55854,2
P22888,6
Q9UKS6,6
P35236,6
Q15828,7
P20160,6
P02788,1
P13598,2
Q9Y696,8
P02792,2
O60242,4
Q8N8U9,3
Q16832,1
P12104,3
P08637,5
P22466,1
P09488,4
P00338,7
P36952,4
Q99519,2
P58215,2
P00480,2
Q13519,6
P48594,4
Q02297,5
P27487,3
Q13526,2
O75882,3
Q16651,3
P0DJI8,8
P13716,8
P21757,2
P63098,2
P08236,5
P51911,5
P20963,1
P20023,2
O14594,5
P02774,8
P07203,2
Q92743,8
O94992,5
P08887,5
P08727,3
P23443,3
Q8N2Q7,3
P31749,2
Q9H3U7,5
Q03692,1
P12643,1
P12644,4
P15056,3
Q7Z5L3,6
P06401,2
P24298,5
P29353,2
Q9BXR6,7
P11717,2
O75791,3
Q9BXB1,4
Q9UK85,1
P37023,1
P17096,6
P51692,4
P50583,5
P11021,8
P15121,2
P06396,7
P13929,2
Q07108,6
O76074,8
Q9H5V8,3
O43819,1
Q13822,3
Q8N3J6,3
O15455,1
P05186,3
P30043,7
O15075,5
P55075,1
P10092,6
O75475,8
Q9NWT6,4
Q9HD40,6
Q96GG9,5
Q13541,3
P61086,7
P09601,5
Q6FHJ7,2
P00450,5
P20591,4
Q96CM8,4
Q9UMX1,3
Q9NTG7,3
P37108,3
P15529,3
P06727,7
Q86XR7,1
P22309,4
Q16890,6
P78540,6
P08134,2
P14598,5
O15205,3
O15305,2
Q9NVS9,3
O60551,3
P62316,4
Q14790,6
Q14790.1,1
P05062,2
P50440,2
Q9NRV9,7
Q8N6N6,1
Q8IX03,3
Q9H900,3
P13995,1
Q14194,6
P28070,3
Q9Y617,8
P02768,7
O43687,3
Q96Q83,1
P56377,3
Q9HBK9,6
P12830,3
P62380,4
Q13427,4
Q9NUU7,1
P83916,4
P45877,2
Q96EQ0,1
P01266,6
Q9UIV8,3
P49715,6
P02461,8
Q9H4D0,4
Q9UDY4,2
Q8IZP7,3
P28066,3
P25788,1
O94813,5
O75094,5
P28065,3
Q8N8N7,5
P35638,6
P13861,4
P50452,3
Q9UHV8,3
P41236,2
Q15777,4
P07093,2
O43586,4
O43427,4
Q7L9L4,2
O95630,5
P54578,7
Q06187,8
P36639,4
P55263,3
P61020,8
O95816,4
P53999,4
P61077,4
P06132,5
P11413,2
Q9UQB8,4
Q9Y3A3,3
P61978,2
Q92506,3
Q99497,8
Q99497.1,4
Q86Z14,3
O75096,5
P40933,3
P55075.1,6
P53567,6
P19235,1
O60496,8
P31371,1
Q96E17,8
Q92994,1
Q15700,5
P08476,2
P01270,6
P00813,3
P24864,3
Q96EB6,5
P01116,6
Q15907,2
Q969T4,3
P20827,2
P19320,2
O15527,6
Q86WK6,1
P14136,6
Q15560,1
P13591,7
P09871,8
P42229,5
Q9BX74,1
O00161,5
Q6GMV3,5
Q99828,5
Q9NXJ5,3
A6NKN8,1
O14645,6
Q9P2X3,5
P43121,5
Q13145,4
Q14126,7
Q92520,6
Q8NFY4,3
Q8WTV0,4
Q96AP7,5
P30988,3
Q86UN2,3
Q9P121,2
Q9UQ52,3
P43220.1,1
P09234,4
Q8TF65,3
P18846,3
Q9GZZ1,2
Q9ULC3,5
P62263,4
Q96LD8,1
Q9H9R9,3
Q14206,6
Q9BZL1,5
Q96G28,2
Q9NZL4,3
Q7Z5W3,2
Q8TBC4,6
Q13084,1
A2RUC4,5
Q9NS37,1
O00141,4
Q8WUK0,1
Q96B02,4
Q9NSI8,4
Q6ICB0,1
P50453,2
P50225,5
P62913,3
Q9BTZ2,3
Q6IN84,6
Q4VC05,4
Q8TD30,1
Q16612,6
Q96DH6,3
Q96F24,1
Q8TBN0,3
Q8TCS8,5
Q9H777,3
Q16819,2
O14917,3
P49815,1
Q16584,2
P47712,5
O00429,5
Q99717,5
Q9UL45,4
Q16853,7
P55210,1
Q86SG5,6
Q13451,5
Q14896,6
P56962,5
Q9BTM9,5
Q8IXL6,7
Q01064,1
O00308,4
P05120,5
P43146,2
P55290,3
P78509,2
Q495W5,4
O94782,6
Q92560,6
Q9HC62,6
Q92772,5
Q5JSQ8,3
P18615,1
P17081,2
P43308,6
Q712K3,2
Q9H8U3,3
Q8IUK8,3
P03951,2
P41226,8
Q9UBV4,1
P46379,2
P28845,2
P11215,6
P06858,5
P29474,4
Q9Y5A7,2
P80303,3
Q15165,5
P39060,2
O75569,4
Q9UQQ2,3
Q13163,8
Q6EEV6,3
Q12778,5
P30837,1
Q96L46,3
P18847,1
Q8WZ19,5
Q9UBR1,4
Q9Y2Z9,4
P00750,2
Q5T6F0,6
Q07687,6
Q9HB65,1
Q9Y2C4,6
Q9BZS1,3
Q06547,1
Q92551,3
Q9UKI8,4
O43248,5
O43679,1
Q92802,1
Q4G0N4,6
Q16236,1
Q8IWS0,4
P60510,3
Q14691,4
Q86SE5,1
P29558,3
Q9HCK4,2
O75581,4
P21912,3
Q9BSV6,3
P17947,5
Q9UGM6,3
Q96BN2,5
Q8NHR7,6
Q9BVW5,6
P13051,5
O14978,4
O60783,3
Q13043,5
P17676,4
O95166,2
P80098,6
P19875,8
O94992.1,4
P18065,7
Q96SI1,4
O14530,1
Q719H9,1
Q6UWP2,2
Q8NBZ0,6
Q9GZN7,6
Q6AI12,1
Q9UFW8,6
Q6IBS0,2
Q53HC0,3
A6NGB7,1
Q96AB6,5
Q9P2A4,1
Q14135,4
Q5VZV1,1
P35916,5
Q9UBU3,3
Q8N998,1
O60662,5
P17980,2
P31939,2
Q15008,3
Q9BUB5,3
P01031,7
Q7Z6L0,4
Q9BTK6,5
P49841,5
Q96BW5,4
P37231,4
Q14814,4
Q8N427,6
Q9UBL6,4
P0CG13,4
Q9H2A7,2
O15520,4
P11216,8
Q7KZF4,3
Q15276,5
Q86W54,4
O15327,3
P55075.2,3
Q8N1G2,6
A6XGL0,6
Q9UN36,3
Q9Y6X0,4
Q9UMY4,8
Q9H165,4
Q5TDP6,4
Q16799,5
P78556,6
Q9Y5W9,5
Q15041,2
P20042,2
P02743,7
P10721,8
P35625,8
P09327,2
Q15910,6
Q96KC8,4
P35712,1
P63010,2
O14920,3
Q08AM6,4
Q96I24,3
P48382,3
O75146,1
P55072,8
P23368,8
P29144,3
Q9C0B1,5
Q13228,4
Q9Y6H5,3
Q8IY22,5
Q9Y6A9,3
Q9BXU8,4
Q5R372,2
Q04637,5
Q9UDY8,1
P53667,5
Q13568,3
Q5VWP3,6
Q9UBB4,1
P01189,1
P05156,7
P17936,8
P41159,5
P14780,7
P05164,2
P01236.1,2
Q92993,5
Q9BWS9,4
Q01973,8
Q92608,3
P02794,5
O75197,3
Q8NEB9,4
Q16849,3
Q9H4A3,1
Q9BXJ3,5
P01033,7
P15692,2
P41273,6
P33681,4
O15394,2
P01034,5
Q9UJZ1,3
P52803,3
Q15303,6
P09758,1
P30519,4
P41236.1,4
Q08431,4
Q08334,3
P42701.1,4
P78552,3
P31785,2
Q6UX15,3
P36941,2
P22897,2
P07333.1,7
Q04912,3
P68402,5
P17252,8
P32942,3
Q03405,5
P19438,2
Q16288,5
Q02223,5
P07585,3
P06732,5
P00533,8
P08631,2
P14210,3
P10809,2
P01024,5
P24592.1,8
Q16674,5
P14555,5
P13725,3
P16284,3
P02776,7
P07225,2
P05543,7
Q9UNG2,3
P26992.1,5
Q12904,5
Q99062,4
P48788,8
Q9Y286,3
Q15465,1
Q9HC73,3
P02647,2
P20160.1,4
P43026,1
O95750,5
P08833,2
Q14005,8
Q96PD4,1
P16619,3
P08254,6
P09237,2
P00441,3
P04114,3
P36896,6
Q9Y2N7,4
Q15389,8
O00253,3
P33151,2
P78423,5
O43278,2
P14770,2
Q9Y5K2,4
P80188,1
P08581,2
O43291,4
P35590,2
O60488,5
P55008,2
P01031.1,2
P27361,2
P04150,1
Q9BY41,8
P52292,1
Q05655,6
P63000,8
P20226,4
P11387,4
P63279,8
P01011,7
P10643,7
P20273,3
P21741,3
P12004,6
O14788,1
P05121,2
Q7L2Z9,6
P02649,7
Q5T4W7,4
P99999,3
P08684,3
P00746,8
P10912,3
P05019,8
P04070,7
P12272,4
P15514,5
P18075,1
P35520.1,4
P16671,2
Q12860,7
P29279,3
Q02413,5
Q9UNE0,3
P42830,4
P09341,3
P01579,1
Q96F46,2
Q13449,3
P11226,4
P18031,3
Q9Y336,3
Q03167,8
Q969D9,4
P16410,6
P08697,8
P09038,3
P55773,7
Q9NNX6,5
Q9UHD0,2
P01584,3
O14625,3
P10147,1
P02144,5
P09486,7
P55774,7
P22102,6
P48023,4
P00738,7
P24394,6
P26718.1,1
P17931,2
P60568,5
O95998,2
P18428,7
P00742,2
Q99969,2
Q9HAV5,4
P28482,5
Q8NEV9,6
Q9NR28,5
P49767,3
P09429,7
P01589,4
P48061,5
P0CG47,4
P49368,3
Q9UNA0,1
P35475,3
P15848,3
Q02083,2
Q9UHI8,4
Q76LX8,8
P53634.1,4
P25774,8
P08709,7
P06681,2
P54108,6
P98073,4
Q96KP4,3
Q9HCN6,2
P10915,3
P14735,5
P04406,7
P22557,4
Q9NQ76,5
Q9NQ76.1,6
Q9NR71,3
P14543,5
P07093.1,3
P07949,3
P13686,2
Q76M96,3
P02750,1
Q15582,7
P21810,5
P00736,7
Q6YHK3,3
P06734,5
P09326,2
P0CG37,3
P49908,8
Q9NR61,4
P12318,3
P31994,3
O75015,5
P12314,4
P22830,6
P05546,2
O43464,5
Q13007,1
Q14114,3
Q9BY67,3
Q6NW40,3
Q6ZVN8,4
P10646,7
P35442,2
P35443,8
Q03154,2
P01008,7
Q96GD4,4
P13497,2
P49336,3
O96017,6
Q16610,7
Q9UGM5,8
P36969,2
Q9UPY5,3
P05154,7
P48736,5
Q9Y243,8
P53350,1
P00797,8
Q9UHD2,1
P10415,3
Q16548,4
Q9HCJ2,1
Q13557,2
P23946,3
P68400,1
P29320,6
P36888,3
P12544,3
Q13478,2
P10145,3
P06213,2
Q4G0M1,6
P09619,5
Q96GW7,3
P33908,6
P17612,2
P10586,3
P16581,8
O75716,3
O15392,3
P40238,1
P07996,5
P04629,3
P01019,8
P61769,5
P05230,6
O43927,4
P04040,7
P80162,3
P01563,6
P81172,5
O00626,8
Q01469,4
P48061.1,8
Q92583,1
P01282,6
P49190,4
Q4KMQ2,1
P29965,1
O94907,2
P20711,1
Q15848,5
P13500,4
O60609,3
P32970,6
P01009,7
P02765,5
Q14012,3
P42574,2
Q13231,4
Q9BXN2,3
P42892,3
O00602,2
P15586,3
Q04756,8
O95711,5
Q495T6,3
P36507,2
Q14982,5
P30533,2
Q9UIB8,5
P35968,2
P01023,8
P00747,7
P46527,4
P10082,4
P43489,4
P22004,3
P05113.1,3
P04070.1,4
P35354,4
Q02763,3
Q13443,3
Q9BY76,2
Q16790,4
P07451,2
P12277,4
Q9GZV9,3
P21802,1
Q04759,5
P60484,1
O60603,1
P43403,1
O00170,5
P62937,7
Q9NP97,5
O95571,3
P40925,7
Q06830,7
P24666,2
P60900,3
P07202,3
P68036,5
Q14974,2
Q9UK53,2
P20700,4
P07195,2
P18669,2
Q15109,3
P17213,2
P13671,7
P00751,7
P10767,1
P02751,7
P19883,3
Q9NYY1,1
P13232,6
P02778,4
P20783,1
P34130,1
P01127,8
P00747.1,3
P00747.2,8
P03952,7
P24821,2
P61812,1
P00734.1,5
P00749,3
P08603,7
P08253,8
P02787,7
P52209,8
O43488,2
P14550,2
P23528,4
Q9NP79,8
P08069,5
Q01638,2
P14618,8
Q9UNZ2,3
Q8IVD9,4
P27169,1
P30086,2
P62826,2
Q14498,4
P29401,7
P60174,8
Q9H773,2
P29350,5
Q9BXJ7,6
Q9BWV1,3
P02741,7
P05362,3
Q9UIK4,5
Q99988,8
Q07817,3
Q9BWP8,5
Q6UWV6,5
O75356,2
Q96P31,4
Q14515.1,8
P07951,3
P05155,2
P01024.1,3
P21781,3
Q01344.1,3
P20809,1
P39900,3
P04085,2
Q9Y240,5
Q10588,2
P45973,4
P10909,8
Q96DA6,4
Q9UHX3,3
Q9NZU1,3
Q16719,3
P06239,1
P19174,4
O60880,4
P01298,3
P05231,3
P04141,6
P14061,1
P08700,4
P23284,3
P30101,5
P43652,7
P08185,1
Q14624,7
O95881,3
P31947,2
P14151,2
P29317,3
P09919,3
P51654,1
P01583,4
P36894,6
Q13873,3
Q16620,5
P03950,2
P00742.1,2
P01308,6
P80098.1,4
P01275,4
P01024.2,7
Q14019,4
P17813,3
P01042,7
Q99731,1
P03956,8
O14944,3
O95994,4
P04083,8
P07355,3
P06576,3
Q07021,3
P00915,7
P00918,4
P46108,2
Q07507,3
Q01469.1,3
P22455,4
P07359,3
P15428,3
P04196,2
Q16539,5
P04179,8
P26038,4
P43490,3
P00568,7
O00299,8
P16333,4
Q13093,8
P30041,7
P09936,4
Q15181,5
P30566,5
Q86VB7,5
Q8IXJ6,2
P07478,5
P04818,4
Q9NZQ7,4
Q9BZW8,6
Q01151,6
Q01151.1,1
P08174,8
Q9UHF4,1
Q5VWK5,5
P16871,4
P78504,3
Q9Y219,4
Q14108,4
P46531,8
Q92823,4
Q9HDB5,5
P41217,3
Q96MS0,4
Q9NP84,1
Q02241,4
P04035,6
P30405,8
Q08499,4
P29597,5
P27797,4
P15498,2
P51671,2
P00734.2,7
P42081,1
P06702,2
Q92851,3
P16870,3
Q9Y625,3
P22626,5
P18510,5
Q8N0W4,4
Q99983,2
Q01105,8
Q96RJ3,1
P48357,3
P26842,5
Q9Y6Q6,4
P05413,7
P48788.1,8
Q13740,8
P54826,2
P62993,8
O60243,3
P05771,8
P13501,7
P20936,1
P31948,2
Q08629,3
P07339,5
P01133.1,3
Q9Y5U5,1
P11362,3
Q08830,7
P06127,2
Q8NBM8,3
P55081,6
P58499,3
Q9NS98,3
Q9UGN4,2
Q9NQ79,3
Q9H488,2
Q9NZC2,5
Q9Y2I2,3
Q8NBJ5,3
P05160,8
Q14116,3
P14314,2
P01375,1
Q9H4F8,8
P22105,8
Q92854,3
Q9Y6N7,2
Q13510,3
Q9BXP8,4
O95467,4
P02771,1
P55957,3
P01138,1
P01024.3,5
P13385,1
P01588,3
P39905,1
P15260,1
P15248,6
P42702,5
Q96KQ7,3
Q13253,5
P80511,2
P10636,6
P04075,5
P05089,3
Q92934,2
P24534,6
P63241,2
P07492,6
P11142,5
P15531,5
P50542,6
Q06323,3
O43508,4
P01270.1,3
P61278,4
O43557,4
P15907,3
Q9BS26,2
Q9NZK5,2
Q9UKZ9,8
P04637,5
Q9BRR6,3
Q16651.1,2
O43240,3
P42081.1,5
Q96SM3,5
Q8WWZ8,4
Q8NBI6,3
O75973,3
P55103,8
Q86XP6,6
Q7Z5L3.1,3
Q96MK3,3
Q86UW8,1
P40967,5
A6NGN9,5
Q9H2R5,3
P05305,4
Q9Y4K0,1
O15394.1,3
Q9UJA9,3
Q9Y6Z7,4
Q14435,4
P23352,3
Q96FE5,2
Q15063,2
P0CG48,5
P0CG47.1,8
P06307,4
O00469,3
Q13145.1,3
Q9HCN8,4
Q9ULW5,3
Q9BT88,1
Q8N807,4
Q96DB5,5
Q8N475,1
P06729,5
Q8IYS5,6
O75830,1
Q9HBE4,4
Q9UJ68,1
P08217,5
P15169,3
Q06033,3
Q8TDQ0,3
P05000,4
O14994,6
Q9ULH4,6
Q9H3T2,1
P14415,5
P20963.1,4
Q5T7V8,6
Q86WD7,3
Q96HD1,5
P67936,8
P36955,2
P18084,4
Q6UWE3,1
Q13162,3
O43916,4
O95249,3
P02753,8
Q16769,3
Q9H2K0,5
Q68D85,1
O00264,2
Q96KN2,2
P08567,7
P00738.1,7
P04278,7
P04745,5
Q92186,1
P09693,4
Q9P0K1,2
Q13291,3
P19827,7
Q8WXD2,2
Q9ULB5,2
O95727,3
Q9NXW2,3
Q9H819,6
A6NNA5,6
Q68G75,5
P40225,4
P07766,3
Q8N7P1,6
Q9Y287,3
P48740,1
Q8N5K1,1
Q9BUD6,2
P14174,3
P29323,3
P05060,4
Q6X4U4,6
P06276,7
Q14956,2
P0C7M8,1
P00995,3
O00548,5
P04004,5
O95897,8
P59901,3
O00300,2
Q9NWH9,4
P30048,2
P20333,2
Q14118,8
P07492.1,4
Q04721,5
P35222,4
P35222.1,3
Q9BXY4,4
P37840,2
P08294,7
O60930,6
Q12805,5
P41159.1,8
Q14145,1
P01024.4,8
Q6E0U4,3
P09668,2
O95866,1
Q504Y2,5
A6NI73,2
P02786,5
Q13145.2,3
P50591,1
O75121,4
Q8IUL8,3
P27986,4
Q9NXS2,5
P09874.1,4
Q92859,5
Q13586,2
Q14289.1,4
Q8N428,3
O75354,4
Q06413,4
Q6UVK1,1
P09919.1,4
Q96DZ1,3
Q6P179,3
Q9ULB1,3
P49746,2
Q9UHN6,4
Q86U17,8
O95631,1
Q16186,4
Q5VZ66,3
P55854.1,5
P50461,3
P22894,5
P58499.1,8
P04155,3
Q07325,1
P47929,5
O00182,4
P37802,5
P01189.1,4
P36955.1,7
O95954,2
O15031.1,2
P16471,4
Q71RG4,1
P11117,1
Q9P0M4,4
O75509,2
P48061.2,2
P16562,3
P16070,6
Q9Y680,3
P55001,1
P23468,2
O75144,4
P19823,7
Q30KP8,1
P14784,3
Q5T1H1,6
P21583,3
Q8N539,1
P10253,2
Q96PE7,5
Q15661,8
P43235,6
O14519,6
P07911,2
Q969J5,5
P25445,5
P51159,4
O95831,5
Q9NX94,4
Q96PZ7,4
P16083,3
Q8NFT8,3
Q4KMG9,3
Q9NVH1,3
Q9NPR2,3
Q9UPQ9,4
Q07960,4
P00374,3
P49789,3
P15559,3
P35222.2,4
P35609,2
Q99497.2,1
P51946,4
P15121.1,2
P61586,8
P21673,4
P19838,2
P26232,4
P11474,4
Q96FV9,3
P46109,5
Q13426,1
Q8TED9,6
O95271,4
O75899.1,6
Q7Z408,2
