"contrast","estimate","SE","df","t.ratio","p.value","Protein","p_adj_FDR"
"draw 3 - draw 4",-8.84833333333333,9.70630488802023,82,-0.911606778832403,0.891671750916026,"FANCL",1
"draw 3 - draw 5",0.517307692307779,10.0843064378465,82,0.0512982916074741,0.999998394896591,"FANCL",1
"draw 4 - draw 5",9.3656410256411,10.2338821834446,82,0.915160137449298,0.89029630182745,"FANCL",1
"draw 1 - draw 2",-124.707456140351,107.658910290353,82,-1.15835703523302,0.774790833988812,"CBS",1
"draw 1 - draw 3",-147.035416666667,113.15208389217,82,-1.29944948081369,0.692289011136698,"CBS",1
"draw 1 - draw 4",-314.471666666667,115.392936753972,82,-2.725224571909,0.0587848884909861,"CBS",1
"draw 1 - draw 5",-108.591666666667,120.731817398118,82,-0.89944530784774,0.896305703594042,"CBS",1
"draw 2 - draw 3",-22.3279605263158,118.95847923849,82,-0.187695409938389,0.999716868052201,"CBS",1
"draw 2 - draw 4",-189.764210526316,121.091930145241,82,-1.56710864463641,0.522553425978244,"CBS",1
"draw 2 - draw 5",16.1157894736839,126.189926007769,82,0.127710586601752,0.999938751701362,"CBS",1
"draw 3 - draw 4",-167.43625,126.000828054955,82,-1.3288503939591,0.674158142164561,"CBS",1
"draw 3 - draw 5",38.4437499999997,130.907794076902,82,0.293670443926478,0.998344873051061,"CBS",1
"draw 4 - draw 5",205.88,132.849487442166,82,1.54972370585643,0.53363143157817,"CBS",1
"draw 1 - draw 2",-446.866666666667,1345.59542065497,82,-0.332095858686228,0.997324664259959,"NSE",1
"draw 1 - draw 3",-601.679166666665,1414.25289845715,82,-0.425439585326679,0.99303626585914,"NSE",1
"draw 1 - draw 4",229.12,1442.26062527764,82,0.158861717490134,0.999853994409666,"NSE",1
"draw 1 - draw 5",343.841025641026,1508.98964312493,82,0.227861753198633,0.999390005336289,"NSE",1
"draw 2 - draw 3",-154.812499999998,1486.82523796393,82,-0.104122862625065,0.999972864879141,"NSE",1
"draw 2 - draw 4",675.986666666667,1513.49058096781,82,0.446640815058395,0.991615808628298,"NSE",1
"draw 2 - draw 5",790.707692307693,1577.20885443569,82,0.501333536192072,0.98701815796806,"NSE",1
"draw 3 - draw 4",830.799166666665,1574.84537761176,82,0.527543324873306,0.984286768339907,"NSE",1
"draw 3 - draw 5",945.520192307691,1636.17602818804,82,0.577884149393628,0.977966125167226,"NSE",1
"draw 4 - draw 5",114.721025641026,1660.44465299178,82,0.0690905447732465,0.999994723927747,"NSE",1
