geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId
R-HSA-975155	MyD88 dependent cascade initiated on endosome	http://reactome.org/PathwayBrowser/#/R-HSA-975155	0.4802770080851807	1.379358841741954	0.08108108089846604	0.48209344474969473	18	./Project_GSEAd12_d35_GSEA/R_HSA_975155.png	4	6288;4208;6283;3146
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	http://reactome.org/PathwayBrowser/#/R-HSA-381426	0.3831494848151697	1.3731766397978864	0.05660377345140619	0.48397732668566007	45	./Project_GSEAd12_d35_GSEA/R_HSA_381426.png	18	3569;5624;7018;1114;462;213;1435;7076;3484;3827;3485;56975;348;8404;6696;56955;29106;2147
R-HSA-211859	Biological oxidations	http://reactome.org/PathwayBrowser/#/R-HSA-211859	0.46737855304214854	1.356480059239684	0.11961722459421717	0.4885534804404997	18	./Project_GSEAd12_d35_GSEA/R_HSA_211859.png	7	95;7360;5443;10327;54658;2944;57412
R-HSA-166166	MyD88-independent TLR4 cascade	http://reactome.org/PathwayBrowser/#/R-HSA-166166	0.49250413442643454	1.486318869562474	0.049327354149490237	0.4919639844804318	21	./Project_GSEAd12_d35_GSEA/R_HSA_166166.png	10	6288;4208;6283;3146;841;29110;3551;466;7323;1432
R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168164	0.49250413442643454	1.486318869562474	0.049327354149490237	0.4919639844804318	21	./Project_GSEAd12_d35_GSEA/R_HSA_168164.png	10	6288;4208;6283;3146;841;29110;3551;466;7323;1432
R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-937061	0.49250413442643454	1.486318869562474	0.049327354149490237	0.4919639844804318	21	./Project_GSEAd12_d35_GSEA/R_HSA_937061.png	10	6288;4208;6283;3146;841;29110;3551;466;7323;1432
R-HSA-1500931	Cell-Cell communication	http://reactome.org/PathwayBrowser/#/R-HSA-1500931	0.4908588805342925	1.3588434649461705	0.10502283081045016	0.49476284862798026	15	./Project_GSEAd12_d35_GSEA/R_HSA_1500931.png	1	88
R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168138	0.46579808192773253	1.35986181356742	0.09192825091495908	0.5048030001155001	19	./Project_GSEAd12_d35_GSEA/R_HSA_168138.png	4	6288;4208;6283;3146
R-HSA-6798695	Neutrophil degranulation	http://reactome.org/PathwayBrowser/#/R-HSA-6798695	0.3428950781370492	1.4319621250490115	0.007462686548600282	0.5098843482905983	107	./Project_GSEAd12_d35_GSEA/R_HSA_6798695.png	32	1991;5657;3312;12;302;6280;4317;6283;2512;4318;3934;2990;2799;5580;2495;3146;23406;1509;2219;4758;671;3163;226;1992;566;10549;7133;116844;5645;383;4353;9588
R-HSA-8953897	Cellular responses to external stimuli	http://reactome.org/PathwayBrowser/#/R-HSA-8953897	0.3523935655969727	1.3900623688385936	0.04265402833494306	0.514239988282327	73	./Project_GSEAd12_d35_GSEA/R_HSA_8953897.png	28	3569;3312;2056;5241;653361;3309;6647;817;5687;5720;64344;4001;3576;9532;1387;11337;9588;6649;5692;23112;847;5052;7323;1432;7422;2876;5717;2908
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	http://reactome.org/PathwayBrowser/#/R-HSA-112314	0.48147923519897995	1.381770303927517	0.1012048190332414	0.5212467030582265	18	./Project_GSEAd12_d35_GSEA/R_HSA_112314.png	2	88;817
R-HSA-446652	Interleukin-1 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-446652	0.42410667519920525	1.4320782783518113	0.05960264887504934	0.530525229255698	34	./Project_GSEAd12_d35_GSEA/R_HSA_446652.png	10	6288;9173;3606;6283;3557;3146;5687;5720;29110;3551
R-HSA-2262752	Cellular responses to stress	http://reactome.org/PathwayBrowser/#/R-HSA-2262752	0.36792977711274216	1.439236548434108	0.02576112406144936	0.5324147621701969	69	./Project_GSEAd12_d35_GSEA/R_HSA_2262752.png	27	3569;3312;2056;5241;653361;3309;6647;817;5687;5720;64344;4001;3576;9532;1387;9588;6649;5692;23112;847;5052;7323;1432;7422;2876;5717;2908
