userId	geneSymbol	geneName	entrezgene	score	gLink
11096	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096	0.189547691906766	https://www.ncbi.nlm.nih.gov/gene/?term=11096
1114	CHGB	chromogranin B	1114	4.1427831790771	https://www.ncbi.nlm.nih.gov/gene/?term=1114
11148	HHLA2	HERV-H LTR-associating 2	11148	0.205672072102323	https://www.ncbi.nlm.nih.gov/gene/?term=11148
11165	NUDT3	nudix hydrolase 3	11165	0.15532790525237	https://www.ncbi.nlm.nih.gov/gene/?term=11165
11167	FSTL1	follistatin like 1	11167	0.904864461945984	https://www.ncbi.nlm.nih.gov/gene/?term=11167
11168	PSIP1	PC4 and SFRS1 interacting protein 1	11168	3.45366946360445	https://www.ncbi.nlm.nih.gov/gene/?term=11168
1118	CHIT1	chitinase 1	1118	-1.32146241272306	https://www.ncbi.nlm.nih.gov/gene/?term=1118
11200	CHEK2	checkpoint kinase 2	11200	-0.557932915825975	https://www.ncbi.nlm.nih.gov/gene/?term=11200
11202	KLK8	kallikrein related peptidase 8	11202	-2.02167095794889	https://www.ncbi.nlm.nih.gov/gene/?term=11202
11244	ZHX1	zinc fingers and homeoboxes 1	11244	4.00107454947788	https://www.ncbi.nlm.nih.gov/gene/?term=11244
112476	PRRT2	proline rich transmembrane protein 2	112476	-0.0956019538586925	https://www.ncbi.nlm.nih.gov/gene/?term=112476
112744	IL17F	interleukin 17F	112744	-4.74342507206239	https://www.ncbi.nlm.nih.gov/gene/?term=112744
11284	PNKP	polynucleotide kinase 3'-phosphatase	11284	0.585570557039946	https://www.ncbi.nlm.nih.gov/gene/?term=11284
112942	CFAP36	cilia and flagella associated protein 36	112942	2.68192350666833	https://www.ncbi.nlm.nih.gov/gene/?term=112942
11314	CD300A	CD300a molecule	11314	-1.5714454049603	https://www.ncbi.nlm.nih.gov/gene/?term=11314
11315	PARK7	Parkinsonism associated deglycase	11315	-3.21259378391578	https://www.ncbi.nlm.nih.gov/gene/?term=11315
11337	GABARAP	GABA type A receptor-associated protein	11337	1.90907278637462	https://www.ncbi.nlm.nih.gov/gene/?term=11337
11344	TWF2	twinfilin actin binding protein 2	11344	0.126508850294581	https://www.ncbi.nlm.nih.gov/gene/?term=11344
114784	CSMD2	CUB and Sushi multiple domains 2	114784	-1.61144035965618	https://www.ncbi.nlm.nih.gov/gene/?term=114784
114900	C1QTNF4	C1q and TNF related 4	114900	-5.33261050033165	https://www.ncbi.nlm.nih.gov/gene/?term=114900
114971	PTPMT1	protein tyrosine phosphatase, mitochondrial 1	114971	-1.18636770388971	https://www.ncbi.nlm.nih.gov/gene/?term=114971
1152	CKB	creatine kinase B	1152	-0.138764842382752	https://www.ncbi.nlm.nih.gov/gene/?term=1152
115352	FCRL3	Fc receptor like 3	115352	-0.828439767709975	https://www.ncbi.nlm.nih.gov/gene/?term=115352
115650	TNFRSF13C	TNF receptor superfamily member 13C	115650	0.239561280206812	https://www.ncbi.nlm.nih.gov/gene/?term=115650
115761	ARL11	ADP ribosylation factor like GTPase 11	115761	0.416027550365014	https://www.ncbi.nlm.nih.gov/gene/?term=115761
1158	CKM	creatine kinase, M-type	1158	12.7777524125001	https://www.ncbi.nlm.nih.gov/gene/?term=1158
115827	RAB3C	RAB3C, member RAS oncogene family	115827	-0.728473789348608	https://www.ncbi.nlm.nih.gov/gene/?term=115827
116379	IL22RA2	interleukin 22 receptor subunit alpha 2	116379	-3.52861251856952	https://www.ncbi.nlm.nih.gov/gene/?term=116379
116844	LRG1	leucine rich alpha-2-glycoprotein 1	116844	1.86433828726971	https://www.ncbi.nlm.nih.gov/gene/?term=116844
117143	TADA1	transcriptional adaptor 1	117143	-0.475770050934093	https://www.ncbi.nlm.nih.gov/gene/?term=117143
1191	CLU	clusterin	1191	1.38624472363008	https://www.ncbi.nlm.nih.gov/gene/?term=1191
1192	CLIC1	chloride intracellular channel 1	1192	-0.340000163275662	https://www.ncbi.nlm.nih.gov/gene/?term=1192
12	SERPINA3	serpin family A member 3	12	5.54093177049377	https://www.ncbi.nlm.nih.gov/gene/?term=12
120939	TMEM52B	transmembrane protein 52B	120939	-0.603231430952152	https://www.ncbi.nlm.nih.gov/gene/?term=120939
1215	CMA1	chymase 1	1215	1.33836869454308	https://www.ncbi.nlm.nih.gov/gene/?term=1215
121793	TEX29	testis expressed 29	121793	2.06751687823518	https://www.ncbi.nlm.nih.gov/gene/?term=121793
123228	SENP8	SUMO peptidase family member, NEDD8 specific	123228	0.493672083016277	https://www.ncbi.nlm.nih.gov/gene/?term=123228
123803	NTAN1	N-terminal asparagine amidase	123803	0.0572911965677982	https://www.ncbi.nlm.nih.gov/gene/?term=123803
124540	MSI2	musashi RNA binding protein 2	124540	1.05665240640418	https://www.ncbi.nlm.nih.gov/gene/?term=124540
126014	OSCAR	osteoclast associated, immunoglobulin-like receptor	126014	-0.858576056601968	https://www.ncbi.nlm.nih.gov/gene/?term=126014
1264	CNN1	calponin 1	1264	3.44683630008714	https://www.ncbi.nlm.nih.gov/gene/?term=1264
1271	CNTFR	ciliary neurotrophic factor receptor	1271	-3.90979267311462	https://www.ncbi.nlm.nih.gov/gene/?term=1271
1272	CNTN1	contactin 1	1272	-2.28685212969821	https://www.ncbi.nlm.nih.gov/gene/?term=1272
1277	COL1A1	collagen type I alpha 1 chain	1277	-5.32435061069302	https://www.ncbi.nlm.nih.gov/gene/?term=1277
1281	COL3A1	collagen type III alpha 1 chain	1281	-4.36186898782294	https://www.ncbi.nlm.nih.gov/gene/?term=1281
129450	TYW5	tRNA-yW synthesizing protein 5	129450	-0.0447275812891051	https://www.ncbi.nlm.nih.gov/gene/?term=129450
1300	COL10A1	collagen type X alpha 1 chain	1300	-7.62926988758804	https://www.ncbi.nlm.nih.gov/gene/?term=1300
131118	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	131118	1.5756642375136	https://www.ncbi.nlm.nih.gov/gene/?term=131118
131450	CD200R1	CD200 receptor 1	131450	0.405375824438631	https://www.ncbi.nlm.nih.gov/gene/?term=131450
132	ADK	adenosine kinase	132	1.07347425264957	https://www.ncbi.nlm.nih.gov/gene/?term=132
133	ADM	adrenomedullin	133	1.71863993267861	https://www.ncbi.nlm.nih.gov/gene/?term=133
133686	NADK2	NAD kinase 2, mitochondrial	133686	-1.42109716131136	https://www.ncbi.nlm.nih.gov/gene/?term=133686
134265	AFAP1L1	actin filament associated protein 1 like 1	134265	0.185561822300059	https://www.ncbi.nlm.nih.gov/gene/?term=134265
135228	CD109	CD109 molecule	135228	-3.29137993338752	https://www.ncbi.nlm.nih.gov/gene/?term=135228
1356	CP	ceruloplasmin	1356	-3.88885074259987	https://www.ncbi.nlm.nih.gov/gene/?term=1356
1363	CPE	carboxypeptidase E	1363	-2.09437521664139	https://www.ncbi.nlm.nih.gov/gene/?term=1363
1369	CPN1	carboxypeptidase N subunit 1	1369	0.299953627506747	https://www.ncbi.nlm.nih.gov/gene/?term=1369
1380	CR2	complement C3d receptor 2	1380	-2.86581876040413	https://www.ncbi.nlm.nih.gov/gene/?term=1380
138046	RALYL	RALY RNA binding protein like	138046	-4.64220301929275	https://www.ncbi.nlm.nih.gov/gene/?term=138046
1382	CRABP2	cellular retinoic acid binding protein 2	1382	-3.03204458347778	https://www.ncbi.nlm.nih.gov/gene/?term=1382
1387	CREBBP	CREB binding protein	1387	1.95307689691354	https://www.ncbi.nlm.nih.gov/gene/?term=1387
1388	ATF6B	activating transcription factor 6 beta	1388	7.11275624908789	https://www.ncbi.nlm.nih.gov/gene/?term=1388
1398	CRK	CRK proto-oncogene, adaptor protein	1398	0.101191396526438	https://www.ncbi.nlm.nih.gov/gene/?term=1398
1399	CRKL	CRK like proto-oncogene, adaptor protein	1399	0.571971106837635	https://www.ncbi.nlm.nih.gov/gene/?term=1399
1400	CRMP1	collapsin response mediator protein 1	1400	-0.646922338128527	https://www.ncbi.nlm.nih.gov/gene/?term=1400
1401	CRP	C-reactive protein	1401	3.20617593552881	https://www.ncbi.nlm.nih.gov/gene/?term=1401
1404	HAPLN1	hyaluronan and proteoglycan link protein 1	1404	-1.90318511805195	https://www.ncbi.nlm.nih.gov/gene/?term=1404
142	PARP1	poly(ADP-ribose) polymerase 1	142	1.91009220283316	https://www.ncbi.nlm.nih.gov/gene/?term=142
1432	MAPK14	mitogen-activated protein kinase 14	1432	1.29744800009727	https://www.ncbi.nlm.nih.gov/gene/?term=1432
1435	CSF1	colony stimulating factor 1	1435	2.90968899374164	https://www.ncbi.nlm.nih.gov/gene/?term=1435
1436	CSF1R	colony stimulating factor 1 receptor	1436	-4.16718499458972	https://www.ncbi.nlm.nih.gov/gene/?term=1436
1437	CSF2	colony stimulating factor 2	1437	0.481951348528509	https://www.ncbi.nlm.nih.gov/gene/?term=1437
1439	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1439	-2.72729990104813	https://www.ncbi.nlm.nih.gov/gene/?term=1439
143903	LAYN	layilin	143903	-0.690382548986032	https://www.ncbi.nlm.nih.gov/gene/?term=143903
1440	CSF3	colony stimulating factor 3	1440	-2.32091479983591	https://www.ncbi.nlm.nih.gov/gene/?term=1440
1441	CSF3R	colony stimulating factor 3 receptor	1441	-0.858816547174497	https://www.ncbi.nlm.nih.gov/gene/?term=1441
1442	CSH1	chorionic somatomammotropin hormone 1	1442	0.959493505637361	https://www.ncbi.nlm.nih.gov/gene/?term=1442
144233	BCDIN3D	BCDIN3 domain containing RNA methyltransferase	144233	-0.126835122078874	https://www.ncbi.nlm.nih.gov/gene/?term=144233
145482	PTGR2	prostaglandin reductase 2	145482	0.105561843047963	https://www.ncbi.nlm.nih.gov/gene/?term=145482
145645	TERB2	telomere repeat binding bouquet formation protein 2	145645	-0.946200004731191	https://www.ncbi.nlm.nih.gov/gene/?term=145645
1457	CSNK2A1	casein kinase 2 alpha 1	1457	0.419992800769596	https://www.ncbi.nlm.nih.gov/gene/?term=1457
1463	NCAN	neurocan	1463	0.676020814184361	https://www.ncbi.nlm.nih.gov/gene/?term=1463
1464	CSPG4	chondroitin sulfate proteoglycan 4	1464	-3.32198730867325	https://www.ncbi.nlm.nih.gov/gene/?term=1464
146760	RTN4RL1	reticulon 4 receptor like 1	146760	-3.52007023411659	https://www.ncbi.nlm.nih.gov/gene/?term=146760
1471	CST3	cystatin C	1471	-0.423578043001945	https://www.ncbi.nlm.nih.gov/gene/?term=1471
147381	CBLN2	cerebellin 2 precursor	147381	-3.42772724600765	https://www.ncbi.nlm.nih.gov/gene/?term=147381
1474	CST6	cystatin E/M	1474	-0.912670798434988	https://www.ncbi.nlm.nih.gov/gene/?term=1474
148113	CILP2	cartilage intermediate layer protein 2	148113	-3.25961115714284	https://www.ncbi.nlm.nih.gov/gene/?term=148113
148738	HJV	hemojuvelin BMP co-receptor	148738	-0.386131816302917	https://www.ncbi.nlm.nih.gov/gene/?term=148738
1490	CCN2	cellular communication network factor 2	1490	1.74690552336832	https://www.ncbi.nlm.nih.gov/gene/?term=1490
149233	IL23R	interleukin 23 receptor	149233	1.68121930090593	https://www.ncbi.nlm.nih.gov/gene/?term=149233
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4	1493	-0.885695426724838	https://www.ncbi.nlm.nih.gov/gene/?term=1493
1496	CTNNA2	catenin alpha 2	1496	-0.128001004106107	https://www.ncbi.nlm.nih.gov/gene/?term=1496
1499	CTNNB1	catenin beta 1	1499	-2.354759154263	https://www.ncbi.nlm.nih.gov/gene/?term=1499
150684	COMMD1	copper metabolism domain containing 1	150684	-1.13554408468954	https://www.ncbi.nlm.nih.gov/gene/?term=150684
1509	CTSD	cathepsin D	1509	2.93632750814779	https://www.ncbi.nlm.nih.gov/gene/?term=1509
151176	ERFE	erythroferrone	151176	0.793528638787201	https://www.ncbi.nlm.nih.gov/gene/?term=151176
1512	CTSH	cathepsin H	1512	0.757877376518356	https://www.ncbi.nlm.nih.gov/gene/?term=1512
1513	CTSK	cathepsin K	1513	-1.18802370189823	https://www.ncbi.nlm.nih.gov/gene/?term=1513
151887	CCDC80	coiled-coil domain containing 80	151887	-5.68014652165257	https://www.ncbi.nlm.nih.gov/gene/?term=151887
1520	CTSS	cathepsin S	1520	0.585480888857754	https://www.ncbi.nlm.nih.gov/gene/?term=1520
152002	XXYLT1	xyloside xylosyltransferase 1	152002	-3.75096982548627	https://www.ncbi.nlm.nih.gov/gene/?term=152002
152831	KLB	klotho beta	152831	-0.482034539511102	https://www.ncbi.nlm.nih.gov/gene/?term=152831
153218	SPINK13	serine peptidase inhibitor, Kazal type 13 (putative)	153218	-1.14130484701696	https://www.ncbi.nlm.nih.gov/gene/?term=153218
154790	CLEC2L	C-type lectin domain family 2 member L	154790	1.34361816779378	https://www.ncbi.nlm.nih.gov/gene/?term=154790
1576	CYP3A4	cytochrome P450 family 3 subfamily A member 4	1576	-1.42610340250803	https://www.ncbi.nlm.nih.gov/gene/?term=1576
158	ADSL	adenylosuccinate lyase	158	1.67473822664178	https://www.ncbi.nlm.nih.gov/gene/?term=158
1604	CD55	CD55 molecule (Cromer blood group)	1604	-2.72058549128207	https://www.ncbi.nlm.nih.gov/gene/?term=1604
1605	DAG1	dystroglycan 1	1605	0.0552851501997045	https://www.ncbi.nlm.nih.gov/gene/?term=1605
161	AP2A2	adaptor related protein complex 2 subunit alpha 2	161	0.215368750839329	https://www.ncbi.nlm.nih.gov/gene/?term=161
163	AP2B1	adaptor related protein complex 2 subunit beta 1	163	0.706169794297505	https://www.ncbi.nlm.nih.gov/gene/?term=163
1630	DCC	DCC netrin 1 receptor	1630	-3.17888571148142	https://www.ncbi.nlm.nih.gov/gene/?term=1630
1634	DCN	decorin	1634	3.9092679651637	https://www.ncbi.nlm.nih.gov/gene/?term=1634
1636	ACE	angiotensin I converting enzyme	1636	-1.16472253504703	https://www.ncbi.nlm.nih.gov/gene/?term=1636
1644	DDC	dopa decarboxylase	1644	3.18188040786172	https://www.ncbi.nlm.nih.gov/gene/?term=1644
1649	DDIT3	DNA damage inducible transcript 3	1649	-3.71008998994294	https://www.ncbi.nlm.nih.gov/gene/?term=1649
165257	C1QL2	complement C1q like 2	165257	-4.88102516297651	https://www.ncbi.nlm.nih.gov/gene/?term=165257
1675	CFD	complement factor D	1675	-4.17559500212011	https://www.ncbi.nlm.nih.gov/gene/?term=1675
168667	BMPER	BMP binding endothelial regulator	168667	-0.652771820590799	https://www.ncbi.nlm.nih.gov/gene/?term=168667
170384	FUT11	fucosyltransferase 11	170384	-0.0556600615153903	https://www.ncbi.nlm.nih.gov/gene/?term=170384
170392	OIT3	oncoprotein induced transcript 3	170392	6.07894718141299	https://www.ncbi.nlm.nih.gov/gene/?term=170392
1719	DHFR	dihydrofolate reductase	1719	2.38462373040717	https://www.ncbi.nlm.nih.gov/gene/?term=1719
1728	NQO1	NAD(P)H quinone dehydrogenase 1	1728	1.68645375086431	https://www.ncbi.nlm.nih.gov/gene/?term=1728
173	AFM	afamin	173	0.677171782059127	https://www.ncbi.nlm.nih.gov/gene/?term=173
174	AFP	alpha fetoprotein	174	1.07018886223204	https://www.ncbi.nlm.nih.gov/gene/?term=174
1740	DLG2	discs large MAGUK scaffold protein 2	1740	1.40917753754193	https://www.ncbi.nlm.nih.gov/gene/?term=1740
1746	DLX2	distal-less homeobox 2	1746	-0.28842844060542	https://www.ncbi.nlm.nih.gov/gene/?term=1746
177	AGER	advanced glycosylation end-product specific receptor	177	-2.07402870510859	https://www.ncbi.nlm.nih.gov/gene/?term=177
1794	DOCK2	dedicator of cytokinesis 2	1794	-2.6306350716403	https://www.ncbi.nlm.nih.gov/gene/?term=1794
1803	DPP4	dipeptidyl peptidase 4	1803	-3.47909730093238	https://www.ncbi.nlm.nih.gov/gene/?term=1803
1805	DPT	dermatopontin	1805	-3.5289940833686	https://www.ncbi.nlm.nih.gov/gene/?term=1805
181	AGRP	agouti related neuropeptide	181	0.822457555560622	https://www.ncbi.nlm.nih.gov/gene/?term=181
182	JAG1	jagged canonical Notch ligand 1	182	-1.55679937642186	https://www.ncbi.nlm.nih.gov/gene/?term=182
1828	DSG1	desmoglein 1	1828	-3.70611865218505	https://www.ncbi.nlm.nih.gov/gene/?term=1828
1829	DSG2	desmoglein 2	1829	-0.728968151018386	https://www.ncbi.nlm.nih.gov/gene/?term=1829
183	AGT	angiotensinogen	183	5.5884493042745	https://www.ncbi.nlm.nih.gov/gene/?term=183
1839	HBEGF	heparin binding EGF like growth factor	1839	-2.89197515460297	https://www.ncbi.nlm.nih.gov/gene/?term=1839
1848	DUSP6	dual specificity phosphatase 6	1848	-1.12700227570068	https://www.ncbi.nlm.nih.gov/gene/?term=1848
1889	ECE1	endothelin converting enzyme 1	1889	-6.54028258255347	https://www.ncbi.nlm.nih.gov/gene/?term=1889
1893	ECM1	extracellular matrix protein 1	1893	-2.63818502853606	https://www.ncbi.nlm.nih.gov/gene/?term=1893
1906	EDN1	endothelin 1	1906	2.82756989425192	https://www.ncbi.nlm.nih.gov/gene/?term=1906
1933	EEF1B2	eukaryotic translation elongation factor 1 beta 2	1933	0.201262731592463	https://www.ncbi.nlm.nih.gov/gene/?term=1933
1942	EFNA1	ephrin A1	1942	4.5420871798819	https://www.ncbi.nlm.nih.gov/gene/?term=1942
