,logFC,AveExpr,t,P.Value,adj.P.Val,B
P55001,0.526405604,9.072405781,4.691128599,1.17338735624894e-05,0.000332091,2.965669965
P05546,0.387683315,12.66945698,4.655974296,1.34022339486358e-05,0.000372284,2.839109146
Q92854,0.440548099,10.67105833,4.643236652,1.40619420667136e-05,0.000383508,2.793380101
Q9UHX3,0.85724841,9.886266521,4.628183207,1.48823575488235e-05,0.000398635,2.739425926
Q86WK6,0.33127865,8.088554941,4.595421329,1.68319127966532e-05,0.000436597,2.622336494
Q8N475,0.226760224,8.413056116,4.594632774,1.68817698129948e-05,0.000436597,2.619523923
Q9NS98,0.61591395,10.00262264,4.582098958,1.76937621425331e-05,0.000449841,2.574855193
Q07507,0.589966153,10.36626534,4.576087507,1.80965489238519e-05,0.000452414,2.553455408
O15394,0.505776854,12.03290173,4.565840051,1.88037818428739e-05,0.00045493,2.517012387
O00626,0.854264515,14.01262136,4.516034615,2.26413748365018e-05,0.000530657,2.340545334
Q12860,0.540719638,14.7058986,4.475855712,2.62814115221803e-05,0.000592715,2.198989
P51671,0.729082011,12.56624864,4.474965491,2.63681666891683e-05,0.000592715,2.19586082
Q01105,0.361996651,13.25199263,4.469469294,2.69099714163991e-05,0.000592715,2.176555476
P00533,0.450165702,13.7764576,4.465926903,2.72648772009618e-05,0.000592715,2.164120096
P29460,0.51143984,7.955405396,4.40405109,3.42474267247434e-05,0.000694205,1.947830658
Q9H3U7,0.52855778,11.3938954,4.394905002,3.54164702436806e-05,0.000708329,1.916009475
P59901,0.513340849,10.78380671,4.332545871,4.4481395333711e-05,0.000866521,1.700090099
P19235,0.290821812,8.247607189,4.309205307,4.84210637468491e-05,0.000925149,1.619745352
P26992,0.632437952,11.88911093,4.307484356,4.87245323725476e-05,0.000925149,1.613831644
Q9UGM5,0.493135234,13.38906446,4.227511838,6.50439152625946e-05,0.00120588,1.340598831
P02647,0.377150411,12.85177968,4.227197156,6.5117524403867e-05,0.00120588,1.339529849
Q7Z3B1,0.375121329,11.14899857,4.214930407,6.80503886002853e-05,0.001244824,1.2978974
P20023,0.818233644,12.86606077,4.197393206,7.24656547963805e-05,0.00130962,1.238506527
Q92859,0.437879815,11.66124287,4.188632643,7.47734974208096e-05,0.001335241,1.208895459
P21583,0.46422103,10.56478879,4.152019119,8.52090991501131e-05,0.001469122,1.085555222
Q16853,0.509783821,14.85171982,4.109334638,9.9149721511063e-05,0.001690052,0.942617474
Q9P121,0.501042385,12.76301007,4.070517883,0.000113713,0.001892634,0.813439937
Q9BXJ3,0.604349545,11.55889048,4.048867051,0.000122709,0.002000688,0.741726806
Q15063,0.544841766,12.81482722,4.034291557,0.000129146,0.002082995,0.693586546
P29460,0.469313646,9.87292112,4.019611959,0.000135956,0.002169508,0.645214915
O43240,0.700503326,10.39824497,4.015909874,0.000137727,0.002173412,0.633033834
Q13449,0.443365801,9.731851747,3.957408925,0.000168836,0.002610859,0.441510547
P02753,0.397816531,14.61975992,3.941340747,0.000178496,0.002732087,0.389225832
P43146,0.822489993,13.12248848,3.928072253,0.000186871,0.002831382,0.346156029
