"","SubjectID","SampleId","Timepoint","Protein","Expression"
"112","01016","01016D5","D5","P01133",9.34806418472904
"113","01016","01016D5","D5","P34931",8.0389189892923
"114","01016","01016D5","D5","Q13148",8.52473758701238
"115","01016","01016D5","D5","Q16828",10.4573808790725
"116","01016","01016D5","D5","P42224",15.4010828344747
"117","01016","01016D5","D5","Q96B67",9.52258153125483
"118","01016","01016D5","D5","Q13790",11.3743874640055
"119","01016","01016D5","D5","O15533",11.6270778405174
"120","01016","01016D5","D5","O95786",8.82750149516938
"121","01016","01016D5","D5","O43316",8.83130724380205
"122","01016","01016D5","D5","Q9H8S9",10.5774288280357
"123","01016","01016D5","D5","Q9H074",10.8704417845678
"124","01016","01016D5","D5","Q9HB71",13.8905587908611
"125","01016","01016D5","D5","Q969Q4",11.5163894866248
"126","01016","01016D5","D5","Q9NXV2",9.0555535932956
"127","01016","01016D5","D5","Q12830",10.6979232123642
"128","01016","01016D5","D5","Q9BRJ7",13.2913146162296
"129","01016","01016D5","D5","O75347",10.870595902188
"130","01016","01016D5","D5","P29536",10.5337190711399
"131","01016","01016D5","D5","Q9Y3E7",12.403411532981
"132","01016","01016D5","D5","Q8N668",9.35733206482943
"133","01016","01016D5","D5","Q86U86",10.0480781206135
"134","01016","01016D5","D5","Q13137",10.2856334014668
"135","01016","01016D5","D5","O75771",9.2623297928572
"136","01016","01016D5","D5","Q8TF42",15.5503860665313
"137","01016","01016D5","D5","Q13310",13.1871974020622
"138","01016","01016D5","D5","P20618",11.0268000593437
"139","01016","01016D5","D5","Q9Y6E0",15.7989526867981
"140","01016","01016D5","D5","Q9NR48",7.40173284952262
"141","01016","01016D5","D5","P08754",9.47451716417449
"142","01016","01016D5","D5","Q07866",10.5607149544745
"143","01016","01016D5","D5","Q9NTK5",11.7624235664674
"144","01016","01016D5","D5","Q9BY11",11.4449630983464
"145","01016","01016D5","D5","Q9NSB8",9.79246495997995
"146","01016","01016D5","D5","Q9UK32",11.1874139370131
"147","01016","01016D5","D5","O15143",14.3452666260075
"148","01016","01016D5","D5","Q8TEK3",8.02403150151675
"149","01016","01016D5","D5","P50990",13.9929029408582
"150","01016","01016D5","D5","Q9NRR5",12.3658029691909
"151","01016","01016D5","D5","O00287",9.61691636257881
"152","01016","01016D5","D5","O75534",8.99038765180274
"153","01016","01016D5","D5","Q9UKY1",8.6614218327891
"154","01016","01016D5","D5","Q9BYV9",10.5710889649004
"155","01016","01016D5","D5","Q86XI6",10.5493996412466
"156","01016","01016D5","D5","O15347",10.2161395564251
"157","01016","01016D5","D5","O95989",8.92777796208234
"158","01016","01016D5","D5","Q2Y0W8",7.86542397831313
"159","01016","01016D5","D5","Q9NZQ0",8.80864246791806
"160","01016","01016D5","D5","P14621",12.8348462915113
"161","01016","01016D5","D5","Q8NDI1",9.67313237214536
"162","01016","01016D5","D5","Q15849",10.2250869060072
"163","01016","01016D5","D5","Q86VK4",8.61911951145322
"164","01016","01016D5","D5","Q92974",9.20236874277526
"165","01016","01016D5","D5","Q9NZR1",8.42794133250948
"166","01016","01016D5","D5","Q99594",9.19401808422215
"167","01016","01016D5","D5","O75521",11.9635463725184
"168","01016","01016D5","D5","Q07869",9.89542381038297
"169","01016","01016D5","D5","O60504",8.28771237954945
"170","01016","01016D5","D5","Q9NUP9",7.40087943628218
"171","01016","01016D5","D5","Q99759",7.41869594960205
"172","01016","01016D5","D5","P46783",8.68860001099912
"173","01016","01016D5","D5","Q13976",10.2666694340719
"174","01016","01016D5","D5","P43220",8.973553878808
"175","01016","01016D5","D5","Q16665",8.03232128705788
"176","01016","01016D5","D5","P06703",11.0895166886394
"177","01016","01016D5","D5","Q92843",8.91139198784346
"178","01016","01016D5","D5","O43915",13.1656921523201
"179","01016","01016D5","D5","Q9BQB4",10.6713641466012
"180","01016","01016D5","D5","P0DML2",9.17392693199981
"181","01016","01016D5","D5","P98172",9.26819107921981
"182","01016","01016D5","D5","Q7Z3B1",11.4335332820355
"183","01016","01016D5","D5","P41182",10.3508287106217
"184","01016","01016D5","D5","Q12841",14.6533769247207
"185","01016","01016D5","D5","P10451",9.4377520723236
"186","01016","01016D5","D5","P01130",7.52591226074335
"187","01016","01016D5","D5","P52789",9.52316986608561
"188","01016","01016D5","D5","P19367",10.7830800848627
"189","01016","01016D5","D5","Q00987",9.6912200765674
"190","01016","01016D5","D5","P56704",11.1974624464606
"191","01016","01016D5","D5","Q8N8Q1",11.3048076180348
"192","01016","01016D5","D5","Q9H2X0",11.4958050712078
"193","01016","01016D5","D5","Q03431",9.69017262126421
"194","01016","01016D5","D5","A8MVW0",9.69278983497265
"195","01016","01016D5","D5","Q01581",15.4798276206258
"196","01016","01016D5","D5","Q8TBE7",10.3361717889442
"197","01016","01016D5","D5","P55036",9.67736729213605
"198","01016","01016D5","D5","O00231",12.1449768240501
"199","01016","01016D5","D5","P09211",11.0920964149908
"200","01016","01016D5","D5","O00194",10.2161395564251
"201","01016","01016D5","D5","Q7Z6M1",8.83605035505807
"202","01016","01016D5","D5","P78347",8.02901108665907
"203","01016","01016D5","D5","Q9Y6K8",7.61102479730735
"204","01016","01016D5","D5","Q92793",11.5620038636516
"205","01016","01016D5","D5","O94973",15.6146925923973
"206","01016","01016D5","D5","O60763",10.2692435864904
"207","01016","01016D5","D5","P41182.1",8.1568415245884
"208","01016","01016D5","D5","Q9BQ69",9.24007576876419
"209","01016","01016D5","D5","O75116",9.69366118551003
"210","01016","01016D5","D5","Q96T60",10.1827667739309
"211","01016","01016D5","D5","Q9NRA1",9.12747852009822
"212","01016","01016D5","D5","P05112",6.97269265400426
"213","01016","01016D5","D5","Q06190",9.31197531446116
"214","01016","01016D5","D5","P22607",12.8704225187077
"215","01016","01016D5","D5","P08246",15.6969756739619
"216","01016","01016D5","D5","P07333",12.3218435594982
"217","01016","01016D5","D5","Q01344",10.4808911559289
"218","01016","01016D5","D5","P21695.1",13.0128340147081
"219","01016","01016D5","D5","P42701",8.16791986555194
"220","01016","01016D5","D5","Q14515",12.7434880397892
"221","01016","01016D5","D5","O60259",11.168546769938
"222","01016","01016D5","D5","P00734",12.3248274761587
"223","01016","01016D5","D5","Q15485",14.5100409086907
"224","01016","01016D5","D5","Q16552",7.63517394667492
"225","01016","01016D5","D5","O96013",12.4146852358072
"226","01016","01016D5","D5","P24158",11.3231110705246
"227","01016","01016D5","D5","P02748",15.7677266887298
"228","01016","01016D5","D5","P22301",8.62935662007961
"229","01016","01016D5","D5","P53634",14.3435396820631
"230","01016","01016D5","D5","P29460.1",7.87098112422465
"231","01016","01016D5","D5","Q9GZX6",10.7213555690723
"232","01016","01016D5","D5","P80075",8.67313237214536
"233","01016","01016D5","D5","Q16851",9.67401567287759
"234","01016","01016D5","D5","O95363",10.6440365153847
"235","01016","01016D5","D5","O75899",8.93752095139832
"236","01016","01016D5","D5","O43432",9.55170826162069
"237","01016","01016D5","D5","Q9H4G0",13.6657800283295
"238","01016","01016D5","D5","P21815",10.6967067746522
"239","01016","01016D5","D5","Q8N474",11.9026012245156
"240","01016","01016D5","D5","P23560",12.8282753507956
"241","01016","01016D5","D5","Q99958",8.16138386011199
"242","01016","01016D5","D5","P01215",10.7548040104512
"243","01016","01016D5","D5","Q15080",9.13519623665344
"244","01016","01016D5","D5","Q86UL8",10.0842769105315
"245","01016","01016D5","D5","P02790",17.741779013408
"246","01016","01016D5","D5","P35225",9.46536233167222
"247","01016","01016D5","D5","Q92484",10.1018443915424
