ENTREZID,stat
2069,0.085455125
8744,0.084124268
10127,0.081801051
9039,0.073766128
10892,0.073355989
23509,0.069604012
10963,0.067550481
10841,0.064075245
4599,0.06171023
79042,0.059663031
123803,0.057291197
10190,0.055817766
1605,0.05528515
7036,0.050962124
10298,0.049445638
9997,0.046331778
29124,0.043044463
9498,0.040084689
6919,0.036941623
797,0.030406259
1012,0.024740057
836,0.023836056
7171,0.01998673
8428,0.01594494
64167,0.009158201
212,0.007298138
55520,0.004317841
91369,-0.004100194
84290,-0.007186773
5901,-0.023102819
221120,-0.025486606
4233,-0.027680486
7415,-0.028878682
8536,-0.0358689
2628,-0.03951189
389,-0.041310593
129450,-0.044727581
1947,-0.045264654
5321,-0.046734345
3559,-0.049578967
11009,-0.051935983
170384,-0.055660062
55014,-0.057672256
9817,-0.058553483
4521,-0.059802262
9861,-0.062715425
5153,-0.072948743
2214,-0.077682108
25837,-0.079661347
7157,-0.079782694
339221,-0.080452518
5834,-0.08692402
5578,-0.088871757
112476,-0.095601954
2042,-0.096688016
3597,-0.09838323
411,-0.103950347
6772,-0.107645054
25853,-0.116859229
55662,-0.118439238
6401,-0.121379884
999,-0.123184531
5866,-0.123220184
54921,-0.12330025
3714,-0.125450449
144233,-0.126835122
10935,-0.127341466
1496,-0.128001004
1152,-0.138764842
10095,-0.139442826
7031,-0.148836494
29949,-0.156363401
10519,-0.163626473
4486,-0.164240917
9636,-0.168283527
6490,-0.170021335
4352,-0.173532009
66005,-0.177208643
80218,-0.181739975
3329,-0.1832217
10068,-0.195447271
202052,-0.195716423
3093,-0.197592379
493856,-0.198530212
5648,-0.208950065
8809,-0.210117719
4200,-0.224314799
9941,-0.227557458
9135,-0.230834041
3159,-0.233847377
196541,-0.234870577
5892,-0.241055872
7812,-0.241647018
3084,-0.24776931
10443,-0.260856077
11047,-0.262290876
6390,-0.26372089
4090,-0.26897974
7318,-0.270518689
25843,-0.27226314
9124,-0.275759477
50943,-0.284771658
60468,-0.285542787
1746,-0.288428441
1005,-0.294163577
1051,-0.304805687
4068,-0.305854556
50604,-0.307285165
2969,-0.312823227
92344,-0.319345562
8821,-0.323193161
54442,-0.326996181
200504,-0.328824102
3416,-0.338850303
10919,-0.339866878
1192,-0.340000163
6469,-0.341844163
695,-0.34428834
5268,-0.345764746
3958,-0.348050754
210,-0.355686934
7374,-0.358738164
87178,-0.368954135
196527,-0.369757308
55454,-0.370761256
53335,-0.373517624
94,-0.373576334
55118,-0.375767843
950,-0.379890685
2885,-0.381815935
148738,-0.386131816
3624,-0.388369861
5373,-0.395259915
2220,-0.395811923
10584,-0.401093017
8574,-0.401287826
2182,-0.404046323
5534,-0.408097439
5329,-0.409582567
8742,-0.412426543
79922,-0.413726274
54586,-0.417342372
83658,-0.417618053
4803,-0.418959354
27189,-0.421735283
8995,-0.422079602
23236,-0.422902367
1471,-0.423578043
9158,-0.424326844
23640,-0.425920423
2212,-0.44198854
93099,-0.445016693
866,-0.446870357
60685,-0.453988745
7429,-0.46709837
117143,-0.475770051
4482,-0.481185048
152831,-0.48203454
3459,-0.482836665
9021,-0.484513312
4038,-0.48668672
4153,-0.48859475
7058,-0.488876097
3479,-0.491863645
23204,-0.494387158
10509,-0.502614956
219402,-0.507066147
9370,-0.509024303
8542,-0.518163282
7203,-0.519447582
84693,-0.529230917
2081,-0.546673952
1948,-0.549297005
11200,-0.557932916
283899,-0.563701711
23070,-0.565024246
84735,-0.570797604
3837,-0.57409226
276,-0.575271196
8455,-0.576074713
23166,-0.577181831
79447,-0.585606922
4879,-0.588540231
1072,-0.59069014
402665,-0.595127415
80221,-0.596565352
25814,-0.597910627
55738,-0.599617181
120939,-0.603231431
387082,-0.607377981
23474,-0.609762231
9048,-0.612607889
10105,-0.613546612
10882,-0.620404036
83440,-0.622081996
3977,-0.622283281
654,-0.625862895
8832,-0.632020544
9315,-0.632452487
7164,-0.635239749
374887,-0.642221632
50964,-0.642720025
6892,-0.646911297
1400,-0.646922338
51715,-0.650241943
10417,-0.650535613
168667,-0.652771821
2550,-0.661783636
7172,-0.666468691
3456,-0.667654791
10573,-0.668370481
2923,-0.67311647
966,-0.679973506
143903,-0.690382549
3305,-0.691725732
640,-0.692933244
80212,-0.695014571
2263,-0.698850946
8672,-0.707286539
27036,-0.707970023
2690,-0.721346076
83941,-0.724821135
115827,-0.728473789
1829,-0.728968151
3973,-0.734946946
4690,-0.735593276
7124,-0.746041075
10241,-0.746745214
55870,-0.748821479
22914,-0.750455438
54962,-0.757274765
1027,-0.764893454
10352,-0.766519214
4916,-0.767960027
11093,-0.769738917
1024,-0.77176221
654790,-0.774544394
8754,-0.777777877
57497,-0.783535263
10019,-0.784796483
10553,-0.787276558
5798,-0.793239331
256302,-0.794571876
