ENTREZID,stat
2740,-4.656613417
6204,-4.678563131
112744,-4.743425072
26998,-4.749772241
4321,-4.773799976
165257,-4.881025163
6648,-4.92651817
30817,-4.999457923
3965,-5.052701226
56884,-5.061152788
6373,-5.067310838
3593,-5.082401022
6356,-5.084713385
8190,-5.209893754
5340,-5.315193914
1277,-5.324350611
114900,-5.3326105
28992,-5.416136747
3001,-5.434799496
2048,-5.498134346
6387,-5.537001643
151887,-5.680146522
7535,-5.805759846
6367,-5.842273069
4237,-6.056369175
7037,-6.396475587
26577,-6.467231637
3730,-6.484793901
10457,-6.514546671
1889,-6.540282583
57452,-6.701510035
10631,-6.701896912
1300,-7.629269888
6424,-8.670277044
7060,-9.567839174
7059,-10.8822705
