SeqId,UniProtID
2590-69,Q01973
13113-7,P10451
14088-38,P24592
12378-71,O15533
15602-43,P08887
19297-4,P11413
19206-20,P36639
11439-88,Q8IUC4
7152-5,Q8TDQ0
12382-2,O95786
18926-7,P25788
18158-4,Q14790
16057-6,P11717
8951-162,Q6UVK1
20103-176,O15527
24960-48,O75146
17823-40,P62316
25947-116,Q8NEB9
5628-21,Q9NS98
3710-49,P00747
12843-6,Q86VK4
4472-5,P07951
11391-69,Q03426
3192-3,Q96KP4
6935-123,Q13145
9177-6,P58499
2859-69,Q9BY41
4430-44,Q9BWP8
19523-215,Q99497
15427-35,P58215
31447-34,P09429
12501-10,O75347
4254-6,Q8IVD9
5825-49,P15260
20437-9,O14645
35094-53,Q01469
6997-32,Q9ULW5
7953-20,Q13291
3642-4,Q9UIB8
21430-4,P47712
4815-25,O95881
11440-58,O14543
15434-5,Q13519
3115-64,P28482
2989-6,P01579
2943-5,P08684
12854-3,Q99594
4859-6,P36894
17460-51,P20591
5882-34,P24534
4159-130,P08603
9869-28,P19838
3336-50,P10646
21123-1,Q13084
4545-53,Q96DA6
13496-19,Q01581
25095-1,Q9Y6H5
9823-2,P00374
19228-11,O95816
5107-7,P46531
4965-27,P06576
15567-2,P20963
8992-1,Q9UHN6
17766-5,P14598
3184-25,P08709
5852-6,P80511
12756-3,Q9BYV9
2849-49,P55008
17148-7,P30043
4156-74,P61812
3291-30,P06734
19558-10,O75096
22969-12,P80098
4479-14,P05155
4995-16,P15428
10910-6,O75871
11395-5,Q14289
2708-54,Q9UNG2
9754-33,P16083
18380-78,P02768
21104-37,Q9BZL1
4234-8,Q01638
22003-4,Q15165
22041-26,Q13163
2857-70,P04150
5138-50,Q9NP84
13576-15,P09211
22773-69,P21912
21367-63,Q96F24
2618-10,Q15303
2743-5,Q15465
18323-39,Q14194
13609-11,P78347
10354-57,P40763
20512-2,P43121
23378-29,Q9UFW8
3817-18,Q04759
4900-8,P01024
2939-10,Q5T4W7
3839-60,O00170
17366-6,Q96GG9
2634-2,P31785
2468-62,P78556
4891-50,P01275
24050-26,P49841
5069-9,P08174
11096-57,Q9Y5N5
11428-31,O00151
4487-1,P21781
23263-9,Q96SI1
12650-43,P08754
2961-1,P04070
2813-11,O00253
5012-67,P00568
16074-12,O75791
4318-12,P29350
8932-1,O75354
5034-79,P07478
8059-1,P40225
3346-72,Q96GD4
18449-33,Q13427
22534-14,P60510
4924-32,P03956
20091-138,P20827
13104-32,P98172
22075-16,P18847
3009-3,Q03167
2860-19,P52292
25100-11,Q8IY22
24917-95,Q96KC8
4261-55,P27169
3719-2,P46527
10366-11,P16234
5255-22,Q08499
18943-4,Q8N8N7
10023-32,P11473
13438-115,Q9H2X0
3473-78,P40238
4717-55,P08700
