"","Protein","p_value","FDR","OverexpressedAt","emmean"
"353","Q13137",0.00248739411188536,0.010569663364952,"D5",10.4867596893644
"354","P18510",0.00257217810534952,0.0108990597684302,"D2",11.4276017026207
"355","Q99497.1",0.0026346577008544,0.0111323564824834,"D3",9.96431951272982
"356","P29474",0.0026544833128852,0.011184620700359,"D1",9.48914655948167
"357","P02818",0.00273654649562619,0.0114659769369812,"D1",10.0720151979281
"358","Q8TED9",0.00273165876494301,0.0114659769369812,"D1",7.94941813106249
"359","P14621",0.00274752725024448,0.0114799188728878,"D1",13.6770480566974
"360","P14151",0.0028529833921248,0.01188743080052,"D5",12.5999956185352
"361","P08217",0.00292858995497024,0.012168656322591,"D1",12.0203909417047
"362","P30043",0.00297296900621155,0.0123189323461805,"D1",17.0242017570079
"363","P32927",0.00301311711512459,0.0124166914084805,"D4",7.87848626243359
"364","P36507",0.00300773329977493,0.0124166914084805,"D4",12.279710016616
"365","Q9BXB1",0.00304039509670023,0.0124947743700009,"D5",9.59840625666255
"366","Q13740",0.00307393143720005,0.0125637524681201,"D5",13.3286499422832
"367","Q9ULW5",0.00306743430501007,0.0125637524681201,"D2",10.7017383891516
"368","Q6X4U4",0.00310410736928698,0.0126526115595937,"D5",8.06081880872901
"369","P07988",0.00316006424699839,0.0128457896219447,"D5",7.32714702247745
"370","O43927",0.00323005491894202,0.0130049161544236,"D4",9.43004254369814
"371","Q13253",0.0032338891504,0.0130049161544236,"D4",11.0730071223379
"372","P09693",0.00322193337907676,0.0130049161544236,"D1",9.6257784365406
"373","P50591",0.00321115893072414,0.0130049161544236,"D4",8.54354200437238
"374","Q68D85",0.0032929446343438,0.013206997196566,"D5",8.72944112546209
"375","Q01973",0.00337483885507447,0.0134993554202979,"D5",13.9667996541315
"376","Q9P0M4",0.00338784072909112,0.0135153220575444,"D2",9.52331456310394
"377","Q86XI6",0.00339875781172861,0.0135229090652332,"D5",9.95620080489543
"378","P43146",0.00349653852977649,0.0138751528959385,"D5",13.4945938363646
"379","P34931",0.00353238939438584,0.0139804329593107,"D2",8.80810142961604
"380","P19367",0.00355628709244154,0.0140379753649008,"D3",11.1677346451535
"381","Q7Z6M1",0.00358130731937647,0.0140531180788713,"D3",9.06688000944468
"382","P08174",0.00358822948280513,0.0140531180788713,"D5",13.5183708629286
"383","Q8NBM8",0.00358756357979565,0.0140531180788713,"D2",10.5891840323282
"384","Q86VK4",0.00362025174546238,0.0141416083807124,"D1",8.85195112362911
"385","O43916",0.00371996456116502,0.0144933684201234,"D4",9.73866743853635
"386","Q99988",0.00380518397030769,0.014748775078712,"D2",14.613867936347
"387","Q9NVH1",0.00380431673641043,0.014748775078712,"D1",10.0549943388101
"388","Q14624",0.00385173068427947,0.0148907114082969,"D2",15.6008068147384
"389","P08887",0.00387434043606234,0.0149396160773612,"D5",11.9937349925578
"390","P34130",0.00396393138042919,0.0152458899247277,"D1",8.70816262037741
"391","O75356",0.00400785042993553,0.0153753852810826,"D2",12.2480239880962
"392","O75475",0.00404282649243358,0.0154699993332918,"D1",14.6894947298016
"393","Q96KN2",0.00416934098990116,0.0159135152286304,"D1",12.9800980996231
"394","Q9UHV8",0.00422028768089718,0.0160670850795578,"D1",9.98794825866839
"395","Q9UHF4",0.0042703135430273,0.0162163805431416,"D4",8.27213803980152
"396","P55103",0.00442831208442487,0.0167739094107003,"D2",13.8469421870796
"397","P16930",0.00445268365108816,0.0168237417547412,"D1",12.7160069329956
"398","P01008",0.00450932977204996,0.0169615072170315,"D1",17.3842910568841
"399","P15559",0.00451176091973037,0.0169615072170315,"D1",10.663581311514
"400","O15394.1",0.00460862542582222,0.0172823453468333,"D5",10.5132508785549
"401","Q8NBI6",0.00469756011290277,0.0175719206218308,"D5",10.835450381437
"402","Q9NTG7",0.00479728166019938,0.0178977240256328,"D4",9.97456620764799
"403","P20809",0.00480852185488669,0.0178977240256328,"D1",8.62009126331229
"404","P20160",0.00484334305284108,0.0179383076031151,"D5",8.14098881662243
"405","O00469",0.00483246538597931,0.0179383076031151,"D2",10.9266424513231
"406","P10147",0.00491628609198996,0.0181636185664654,"D5",9.11273582027444
"407","Q9BY41",0.00508152327983921,0.0187279727758202,"D2",13.884019347708
"408","Q9Y2I2",0.00512127723020869,0.0188282251110614,"D5",10.0500506315884
"409","P20963.1",0.00515051742009872,0.0188894281910711,"D5",9.526497360015
"410","Q7L2Z9",0.00516641036372495,0.018901501330701,"D3",7.43525858745993
"411","O14788",0.00535763147083795,0.0195160343980511,"D3",9.21069119267565
"412","P07492",0.00536040411466472,0.0195160343980511,"D5",7.99769960743262
"413","P09238",0.00539847960580588,0.0195494082663691,"D5",11.506327932709
"414","P00742",0.00540866962036211,0.0195494082663691,"D3",12.9372992151652
"415","P13232",0.00539219957679706,0.0195494082663691,"D1",7.53080203463073
"416","Q9H2X0",0.00547268902195809,0.0196859317336622,"D5",11.2175260738779
"417","O00194",0.0054711108988214,0.0196859317336622,"D3",10.53625816483
"418","Q96FE5",0.00552122682740368,0.0198130149308744,"D5",12.580363513956
"419","O95750",0.00557748363171317,0.0199671251731975,"D2",11.6297468028018
"420","Q03431",0.00567209396937502,0.0202093609360155,"D2",9.9684935341876
"421","Q96SM3",0.00567058990908774,0.0202093609360155,"D3",11.5982436150577
"422","Q16851",0.00586960061248248,0.0208141865690868,"D1",9.59981693479508
"423","P16581",0.00585781816205772,0.0208141865690868,"D1",14.5042258324957
"424","Q92583",0.0059098577651258,0.0209075156785111,"D3",9.47984068142926
"425","Q13231",0.0059369468778614,0.0209539301571579,"D4",9.3297440771016
"426","O43278",0.00598644063617938,0.0210790163245753,"D5",12.5675385897369
"427","P18847",0.0060862605068113,0.0213396834969617,"D5",8.3159820290406
"428","P16871",0.00608892302446641,0.0213396834969617,"D1",9.25772946787182
"429","P36955.1",0.00613159739862955,0.02143915174346,"D2",16.5549823261875
"430","P20333",0.00618737494805384,0.0215838660978622,"D2",13.3086304207569
"431","Q01469.1",0.00627847442116247,0.0218508390527696,"D1",9.95246874432105
"432","Q13873",0.00658360726829692,0.0228597474593643,"D2",9.83180595849195
"433","Q16832",0.00666739177024554,0.023052074615217,"D5",8.51138157653111
"434","P08236",0.00666973358866946,0.023052074615217,"D2",12.0513663715987
"435","P36969",0.00673318898592471,0.0232178930549128,"D1",12.4714405225245
"436","P12643",0.0067792604576215,0.0233231437762207,"D1",8.36242678272412
"437","Q8N6K0",0.006910158850475,0.0237190807224542,"D1",9.10559512591019
"438","P09237",0.0069493194382918,0.0237990391722322,"D4",13.3714503970094
"439","P40967",0.00707006529934928,0.0241573985171388,"D1",11.5594041526818
"440","P01270.1",0.00711048682361717,0.024240295989604,"D1",10.0535759627717
"441","Q9BYV9",0.00712839149059744,0.0242462295598552,"D4",10.774831996751
"442","Q9NX94",0.00726539151767028,0.0246563060554421,"D4",9.20754811583769
"443","Q8IXL6",0.00728468572815702,0.0246659787635113,"D2",16.175751191072
"444","P11226",0.00737076542524162,0.0249012345447352,"D3",9.25328775905288
"445","P39905",0.00742658449311797,0.0250334308756785,"D1",8.79558037390496
"446","P01583",0.00747863458831916,0.025152358480894,"D5",9.1914199459903
"447","Q8TEK3",0.00766303976190999,0.0255908298261923,"D2",8.03564184954211
"448","O60609",0.00767724894785768,0.0255908298261923,"D4",11.1263178685572
"449","P02765",0.00765363229025999,0.0255908298261923,"D4",11.5530058315362
"450","P06576",0.00763766408813159,0.0255908298261923,"D3",10.5117457161137
"451","Q13145.2",0.00783402814885349,0.0260555259939695,"D5",9.83171611880909
"452","Q9H5V8",0.00785434569369501,0.026065306505625,"D3",10.9655554892401
"453","Q99519",0.00808205488727632,0.0267617711499216,"D2",12.2661372955271
"454","O15173",0.00815891356919206,0.0269567628938064,"D3",10.1633645173692
"455","P30533",0.0084118294467122,0.027731305868282,"D2",12.5334835452754
"456","P07585",0.0084913435381168,0.0279320511122263,"D1",11.0804306243881
"457","P05387",0.00863391774821662,0.0283388985171224,"D4",8.51676934712426
"458","Q9UBB4",0.00867888303824864,0.0284242894265785,"D3",8.90352191763016
"459","P15586",0.00876284238403582,0.0286367398171105,"D1",10.4781245696655
"460","Q9HCK4",0.00879162810065748,0.028668352502144,"D5",12.4491340593344
"461","Q9BUD6",0.00886834394484995,0.0288557829008133,"D2",13.1698810988298
"462","Q02083",0.00897515746944476,0.0291401216540414,"D1",12.1503680309002
"463","P06703",0.00913626615626488,0.029599134415545,"D1",12.176181046386
"464","P41217",0.00944031016992349,0.0305182440838044,"D1",10.396808813368
"465","Q8N5K1",0.00955167294322838,0.0308118482039625,"D4",8.829992077634
"466","P08397",0.00978693596773717,0.031436140833884,"D1",16.1128473492752
"467","P54826",0.00978711851294923,0.031436140833884,"D4",12.9878142707043
"468","O00141",0.00983055556091397,0.0315081909003653,"D5",9.61975409217616
"469","Q9NPR2",0.00992901844815053,0.0317559225420593,"D5",9.89662431879488
"470","P14314",0.00999356941967344,0.0318943704883195,"D2",12.5477922572504
"471","P05120",0.0100455497010428,0.0319921965001364,"D2",11.5205126324696
"472","Q86U86",0.0101477867449259,0.0322493222826036,"D1",10.5424218790669
"473","P0C7M8",0.0102264418958416,0.0324305768367069,"D1",8.50427355904564
"474","O75899.1",0.0103878887257346,0.0328730655877676,"D5",8.15664679884273
"475","O60504",0.0104870691704454,0.0331170605382487,"D1",7.88842569526287
"476","P08069",0.0105321083807564,0.0331894171662491,"D5",11.779807407525
"477","Q96G28",0.0107564936810483,0.0338254518271958,"D1",13.1860181005989
"478","P30740",0.0109356079756684,0.0341737749239636,"D1",13.3014082853321
"479","Q53HC0",0.0109052656398465,0.0341737749239636,"D2",11.1865187060641
"480","Q14435",0.0109139940503633,0.0341737749239636,"D1",9.4155037731043
"481","Q6NW40",0.0109835034574567,0.0342520897841686,"D5",10.4570259520432
"482","Q9NQ76.1",0.0110904209966389,0.0345137582882953,"D1",7.61526668648343
"483","P43235",0.0114884934321556,0.0356785510315391,"D4",8.05052645295339
"484","P18669",0.011545437316353,0.0357813139969618,"D3",13.8321421177814
"485","Q9Y3Z3",0.0116147568866484,0.0359219285154074,"D5",9.69409496137273
"486","Q9GZX6",0.0116524676948868,0.0359644064657,"D5",10.3399382351026
"487","Q7Z5L3.1",0.0120222146470775,0.0370294085638939,"D1",10.1490575578651
"488","Q5T6F0",0.012095410558951,0.0371785160623493,"D4",8.16609131222028
"489","Q15165",0.0121499251744794,0.03726970912417,"D2",11.5267842062057
"490","Q99259",0.0123018113914183,0.0376376430533612,"D4",8.63385127135956
"491","Q06190",0.0123200551594669,0.0376376430533612,"D4",9.47744353375805
"492","Q9BWP8",0.0123482762488565,0.0376471836855382,"D1",11.536366360534
"493","O94907",0.0125560561957231,0.0382030107374942,"D3",13.5307712935724
"494","Q07021",0.0126265698495406,0.0383397869925323,"D2",10.6940647229184
"495","P02771",0.0127125934576571,0.0385230104777488,"D1",8.56012560079652
"496","P04083",0.012808922208582,0.0387366599049859,"D1",14.371026182148
"497","Q9NSI8",0.0129290651272665,0.0390213233217298,"D1",9.77880970318449
"498","Q9P0K1",0.0129591798926921,0.0390336743755786,"D5",11.8591386914304
"499","P18065",0.0131512762571867,0.0395328945606815,"D2",15.7085524609816
"500","P0CG13",0.0132512073715868,0.0397536221147605,"D1",9.11287436937803
"501","P58499.1",0.0133367120087541,0.0399302754753117,"D5",13.5029478367593
"502","Q96GD4",0.0133832623299618,0.0399898276791689,"D3",9.66603355157607
"503","P07949",0.0143068476929213,0.042664555744298,"D5",10.4805791518403
"504","P48023",0.0143494372267435,0.042706658412927,"D5",9.41354590874829
"505","Q8TF65",0.0144034789642338,0.0427826107848529,"D1",10.3146873021027
"506","P07766",0.0144494922896408,0.0428344633092119,"D5",10.6631763861687
"507","Q86XR7",0.0146620700956588,0.0432084580422166,"D5",8.89572018467748
"508","Q99062",0.0146376378642437,0.0432084580422166,"D2",9.54786194476868
"509","P49368",0.0146350772798612,0.0432084580422166,"D3",10.7780611716513
"510","P35625",0.0149780238743764,0.0440530113952247,"D3",14.4820670159239
"511","P42081",0.0151126115343723,0.0443618733885685,"D5",8.69783831651915
"512","Q96EQ0",0.0153080433705869,0.0448477833122663,"D5",8.42478451505757
"513","P20823",0.0153837517312136,0.044981730208227,"D4",8.28044124025624
"514","O00602",0.0154351551138433,0.045044226985924,"D1",12.9604697840867
"515","P01033",0.0155268404641805,0.0452238071772249,"D2",15.4773758966084
"516","P10082",0.0156433226529808,0.0454747751540138,"D5",9.43954450199397
"517","Q9HDB5",0.015765884925388,0.0457424127429053,"D5",11.6997308933311
"518","Q16610",0.0159909837322122,0.046305937448491,"D3",15.7457693240019
"519","Q9BTZ2",0.0161658232331425,0.0467220324657298,"D3",10.4682191987027
"520","O60603",0.0165356645856349,0.0476781438164341,"D2",8.9236711095446
"521","P04035",0.0165602086189081,0.0476781438164341,"D1",8.09188981114584
"522","Q9BXR6",0.0168918007517979,0.0485396573327525,"D2",16.6226028290103
"523","P35354",0.0169964819798437,0.0487470802481177,"D1",9.06197493486285
"524","P11717",0.0172733212746525,0.0494465303663717,"D5",12.5588845858534
"525","P24821",0.0174372124250572,0.0498206069287348,"D3",13.0499276054493
