"","Protein","p_value","FDR","OverexpressedAt","emmean"
"173","P12544",5.39099942621212e-05,0.000464741329845872,"D5",10.9471810120384
"174","P46531",5.36552923164226e-05,0.000464741329845872,"D5",13.9876176886462
"175","Q9BXJ3",5.66230796382687e-05,0.000474495080767615,"D5",11.9608029664642
"176","P07333.1",5.53707920371752e-05,0.000474495080767615,"D5",15.2761893081007
"177","O14625",5.59697473294981e-05,0.000474495080767615,"D3",11.4152949228305
"178","Q03154",5.65835985863753e-05,0.000474495080767615,"D2",12.4308992348145
"179","Q5T7V8",5.64346943465197e-05,0.000474495080767615,"D2",7.96764239454378
"180","Q504Y2",6.02517260163355e-05,0.000502097716802796,"D3",11.3617104763209
"181","Q04756",6.2077837280429e-05,0.00051445721503118,"D4",13.5775191129082
"182","O14791",6.32854444016575e-05,0.000518733150833258,"D5",15.6721321240554
"183","O43557",6.31212135084191e-05,0.000518733150833258,"D3",9.59850982636446
"184","Q02413",7.03642670031897e-05,0.000573621741873829,"D3",12.0071508021541
"185","Q96MS0",7.08545770709175e-05,0.000574496570845277,"D1",9.3937261011246
"186","P17947",7.26575851849966e-05,0.00058594826762094,"D1",11.4988734034387
"187","Q9P109",8.10037980642936e-05,0.000649763086077221,"D3",10.6657069537685
"188","P00813",8.38292936929806e-05,0.000668850747550377,"D3",11.2812631351118
"189","P27487",8.57837149184168e-05,0.000680823134273149,"D3",10.2996479941127
"190","Q13145",8.65588555103139e-05,0.000683340424963382,"D1",9.50409925247113
"191","P01024.4",8.7012014112004e-05,0.000683340424963382,"D3",14.4030294980456
"192","Q9UHX3",8.79802613124479e-05,0.000687345791503499,"D5",10.427243381924
"193","P22626",8.8652174587747e-05,0.000689006538246739,"D1",11.0999133960062
"194","P01023",9.11869208806382e-05,0.000705053511963698,"D5",13.6690811699119
"195","P02452",9.34848467180196e-05,0.000719114205523228,"D4",11.1415206227565
"196","O75015",9.58917301967408e-05,0.000733865282117914,"D3",11.8453396747347
"197","P19235",9.87833959775064e-05,0.000752157837392181,"D5",8.37835567803674
"198","P02787",0.000100290196258163,0.00075767351092172,"D1",18.050091757174
"199","P48061.2",0.000100518019115615,0.00075767351092172,"D5",12.9290423500961
"200","Q14982",0.000101978907994464,0.000764841809958483,"D3",11.807145100177
"201","P25788",0.000104611311003066,0.000780681425396018,"D4",8.60030862519451
"202","P36888",0.000106302526081068,0.000789375193671297,"D3",10.6285292283197
"203","Q07817",0.000117396532245554,0.000867462060927741,"D3",11.4849656756258
"204","Q92484",0.000119240981307728,0.00087677192138035,"D1",8.56829829578961
"205","Q9Y5K2",0.000121764596620244,0.000890960463074954,"D1",8.96719761636075
"206","P43121",0.000135754615238465,0.000988504479891734,"D1",10.8911820637078
"207","P14555",0.000138261372193868,0.000992306498999049,"D2",11.6972384044211
"208","Q06413",0.000138209166855738,0.000992306498999049,"D1",9.49806180259747
"209","P51946",0.000137262465178082,0.000992306498999049,"D1",9.21966739429928
"210","Q92823",0.000144667402955517,0.00103333859253941,"D5",8.90434300511926
"211","P01024",0.000146947469068745,0.00104465025404321,"D3",11.9346069283552
"212","Q9P2A4",0.000148968156836365,0.00105401997761579,"D1",8.43330260026343
"213","P06727",0.0001604788730239,0.00113013290861901,"D1",15.3104420701623
"214","P80162",0.000168389280644951,0.00118029869610947,"D3",11.4579104681699
"215","Q6UX71",0.000178638634664977,0.00124631605580217,"D5",9.14936705305943
"216","P42229",0.000181229882757155,0.00124699460612721,"D3",11.4163843979417
